DMS_id,n,Spearman,AUC,MCC,NDCG,AP
4D5_HER2_fitness_1N8Z,2080,0.3271797147988353,0.8126258423734385,0.358974358974359,0.8566706767897163,0.38810303644227706
5A12_Ang2_fitness_4ZFG,944,0.11625872363132507,0.6301531213191991,0.087074576901618,0.58585920676135,0.1571574566942212
5A12_VEGF_fitness_4ZFF,29981,0.4598768369397648,0.6582820517599115,0.034149536220500744,0.6758936284525139,0.14150737102354838
ACE2_SARS2-RBD_enrich_6M17,2186,0.26839346419956595,0.5066218170591007,-0.019994289335682598,0.610854723340659,0.10238590843590159
BH3_Bcl-xL_normed_1PQ1,518,0.6509367772435046,0.8634450313634863,0.508336084516342,0.931064031455319,0.5160949711810862
BH3_Mcl-1_normed_3KZ0,518,0.6512651143077905,0.9113156157147574,0.44420600858369097,0.8992417989843177,0.5331313278091669
CD19_FMC63_Fitness_7URV,3886,0.5978098304999785,0.6899637188718029,0.09186077720502836,0.7702662553547244,0.15975904489941162
CXCR4_CXCL12_enrich_8U4O,5585,0.19103230953488023,0.5595632585332657,0.033893165201061816,0.627878375704577,0.12093228110977022
GB1_IgG-Fc_fitness_1FCC,92891,0.49668351926426013,0.7132300528227794,0.13900654416117866,0.7352272093617465,0.19031592707675468
GB1_IgG-Fc_fitness_1FCC_2016,22176,0.38916383087397505,0.6750922654436355,0.15287351409104294,0.8084026656528711,0.19410444717866454
HLA-A2_TAPBPR_meanscore_5WER,3344,0.3975153205531239,0.6460618145563309,0.08439457746164492,0.674147853917162,0.15458459573706287
KRAS_DARPinK27_norfitness_5O2S,19533,0.38140531164670566,0.6479980736762361,0.0810506371500423,0.6858491767921471,0.15520537449020122
KRAS_PICK3CG-RBD_norfitness_1HE8,19203,0.5055404343423447,0.721415179777101,0.20987024741494567,0.7955184146563737,0.2449794646288484
KRAS_RAF1-RBD_norfitness_6VJJ,23162,0.4572565553645223,0.7049047199084266,0.14205694185446913,0.7535094895952827,0.19219196551721832
KRAS_RAF1_norfitness_6VJJ,12677,0.5272281342550897,0.7442700474720687,0.18592321408772144,0.7934150326068273,0.23245592223659017
KRAS_RALGDS-RBD_norfitness_1LFD,20341,0.5814509454756795,0.7276654657462135,0.2390514635153878,0.8204098478979888,0.25814611574227486
KRAS_SOS1_norfitness_8BE4,19425,0.32102803788838247,0.6878595456142435,0.13361735558839347,0.6780136091986961,0.18088248729123405
PSD95_CRIPT_1BE9,1577,0.35422116180937613,0.5380549682875264,0.022296857298329184,0.6417816620962083,0.11405718378885078
PSD95_Tm2F_1BE9,1577,0.19985620905839424,0.49523197830527826,0.0011953506213147073,0.5588886397145321,0.10042725903090063
SARS2-RBD_ACE2_deltaKd_6M0J,21872,0.6807605371030618,0.8827738668587077,0.4139514010581075,0.8566864200970138,0.42900312642576377
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,0.055229386949382446,0.49306689725780173,-0.04507815819449047,0.5150582888749299,0.09144033393914491
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0.27382631136470376,0.7546969537276528,0.14319210544306826,0.7061249136890868,0.20714890056905738
Z-domain_ZpA963_HL1_fitness_2M5A,2904,0.3342613046337723,0.7899466453090088,0.23617440158446468,0.7442594823941773,0.28652919297744894
Z-domain_ZpA963_HL2_fitness_2M5A,600,0.4148078582109357,0.705462962962963,0.18518518518518517,0.7380420182883551,0.23583438483676966
hYAP65_peptide_FunctioncalScore_1JMQ,18407,0.11479716859757333,0.5753474833731753,0.01682087019066099,0.5290364369435929,0.11460163395737757
