DMS_id,n,Spearman,AUC,MCC,NDCG,AP
4D5_HER2_fitness_1N8Z,2080,0.3188905324350261,0.7987369534845496,0.3215811965811966,0.8440043598009296,0.36973584566836637
5A12_Ang2_fitness_4ZFG,944,0.112649867881702,0.627301469220755,0.1104829210836278,0.5891859458499165,0.15375662093278153
5A12_VEGF_fitness_4ZFF,29981,0.4756456640604248,0.6669788723644814,0.04864015464165429,0.6865164598409575,0.14518641189371742
ACE2_SARS2-RBD_enrich_6M17,2186,0.27578183765366293,0.4963298535423529,-0.030143486244495362,0.5987098447624872,0.10075505500177637
BH3_Bcl-xL_normed_1PQ1,518,0.6699244386578957,0.864435457246616,0.44420600858369097,0.9134954162667903,0.4749854975889354
BH3_Mcl-1_normed_3KZ0,518,0.6516746938589271,0.921137339055794,0.44420600858369097,0.9115930660853422,0.5852334808308801
CD19_FMC63_Fitness_7URV,3886,0.5945200216875469,0.6768542127669133,0.0543792711769402,0.7575399982527036,0.14920807191407337
CXCR4_CXCL12_enrich_8U4O,5585,0.20669793657036376,0.563253016336517,0.0398567876380923,0.6249207958025012,0.12032664323180153
GB1_IgG-Fc_fitness_1FCC,92891,0.5004879290287999,0.7099323702012443,0.12190150606935435,0.7093223921945536,0.17956284801997122
GB1_IgG-Fc_fitness_1FCC_2016,22176,0.4842266664466847,0.7445142576687871,0.1884418053385509,0.828962727470183,0.22772935767667862
HLA-A2_TAPBPR_meanscore_5WER,3344,0.41429409045627524,0.6608884788420808,0.10098163221777454,0.6847111495610206,0.16096965753083364
KRAS_DARPinK27_norfitness_5O2S,19533,0.4029460665606415,0.6625205251241026,0.10720884921136535,0.708950177444259,0.16422086980574058
KRAS_PICK3CG-RBD_norfitness_1HE8,19203,0.4925617998856661,0.7317019010551069,0.23300728262973497,0.8090738331864176,0.2629438985937842
KRAS_RAF1-RBD_norfitness_6VJJ,23162,0.44134790692398707,0.6987277698506963,0.14829129610594588,0.7592815526574502,0.1940584612298819
KRAS_RAF1_norfitness_6VJJ,12677,0.487190979749773,0.727870354164472,0.18066545228419756,0.7947286032744214,0.23327264544109497
KRAS_RALGDS-RBD_norfitness_1LFD,20341,0.5621313686712875,0.7286948203799729,0.2417827935099485,0.8184223358136327,0.2546524330801032
KRAS_SOS1_norfitness_8BE4,19425,0.3209314827067273,0.6720505491038704,0.11760500308441657,0.6665958835163558,0.16893902602391156
PSD95_CRIPT_1BE9,1577,0.3676624088736221,0.5355215386125013,0.02933069285733401,0.6489207860462437,0.11517746020327597
PSD95_Tm2F_1BE9,1577,0.19433457528623982,0.5049620431575098,0.0011953506213147073,0.560864075765372,0.10296152816909959
SARS2-RBD_ACE2_deltaKd_6M0J,21872,0.696781240632381,0.8860474588999799,0.414459242131714,0.8571746013761284,0.4366829723054289
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,0.15198588563222776,0.5454796023342734,-0.010861376418818644,0.5883880415858209,0.1054307048955074
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0.2746634525366478,0.7610387848523865,0.2087945660471953,0.765792324291635,0.23991044875342893
Z-domain_ZpA963_HL1_fitness_2M5A,2904,0.18389409828350056,0.6858537079340279,0.14069620178252276,0.6499372623589763,0.19819928007034546
Z-domain_ZpA963_HL2_fitness_2M5A,600,0.3773934581703537,0.7147530864197531,0.16666666666666666,0.7252102523085162,0.24702894732666536
hYAP65_peptide_FunctioncalScore_1JMQ,18407,0.08860576340502595,0.5675651221263449,0.005957012402712492,0.5115962545392889,0.11122253892691705
