DMS_id,n,Spearman,AUC,MCC,NDCG,AP
4D5_HER2_fitness_1N8Z,2080,0.3074951624277494,0.8014990651709402,0.3269230769230769,0.825804450117956,0.33171038839306105
5A12_Ang2_fitness_4ZFG,944,0.11934471215774661,0.6323724505610316,0.1338912652656376,0.6152375558219719,0.15509001012077217
5A12_VEGF_fitness_4ZFF,29981,0.4198088073293701,0.6684262054741759,0.07427740261754132,0.7006331454866511,0.1537303442636313
ACE2_SARS2-RBD_enrich_6M17,2186,0.31529026613552635,0.4959723566704506,-0.02506888779008898,0.6213238501516015,0.10149768038436414
BH3_Bcl-xL_normed_1PQ1,518,0.5959314695017561,0.8454935622317596,0.42282931660614065,0.892725392528186,0.46256192248620476
BH3_Mcl-1_normed_3KZ0,518,0.6392924236977858,0.9095823704192803,0.44420600858369097,0.8980809273292785,0.5482111360964185
CD19_FMC63_Fitness_7URV,3886,0.5724791937143341,0.6430760705553746,0.0572624639483316,0.7596973297933804,0.14123765783619746
CXCR4_CXCL12_enrich_8U4O,5585,0.19207494911563364,0.5690925968505809,0.04979615836647643,0.6270920386052419,0.12649278277726975
GB1_IgG-Fc_fitness_1FCC,92891,0.5620476922414105,0.725314088401708,0.13733192504729377,0.7443042390875485,0.1934553538633419
GB1_IgG-Fc_fitness_1FCC_2016,22176,0.49932539190231306,0.7584199248539155,0.19194853827844605,0.8378922516203611,0.23946749744094686
HLA-A2_TAPBPR_meanscore_5WER,3344,0.38236260268581224,0.6485300317951618,0.07487409475940653,0.671227397646309,0.1521298582840956
KRAS_DARPinK27_norfitness_5O2S,19533,0.34184905856580156,0.6524106296459737,0.09640437031647105,0.7019182066184562,0.16311177263872895
KRAS_PICK3CG-RBD_norfitness_1HE8,19203,0.4727800951435928,0.7298700684923956,0.256722743724894,0.807087885520684,0.272436863555829
KRAS_RAF1-RBD_norfitness_6VJJ,23162,0.3982430792013786,0.6951483052097644,0.18473829019150226,0.7766029371763933,0.2196519386890945
KRAS_RAF1_norfitness_6VJJ,12677,0.4498319106682737,0.7230755895022275,0.22185125307846784,0.7980012945290986,0.2376263925105908
KRAS_RALGDS-RBD_norfitness_1LFD,20341,0.5043321943065274,0.7176282409182103,0.2456066555023335,0.8252169241872158,0.26743177339519153
KRAS_SOS1_norfitness_8BE4,19425,0.29220801307233046,0.6629031799372141,0.12961426746239924,0.678783459115854,0.1736374968328353
PSD95_CRIPT_1BE9,1577,0.40249932321512566,0.5692879635328855,0.008229186180319533,0.6348026974090796,0.11955119599778667
PSD95_Tm2F_1BE9,1577,0.22264437088016714,0.49839207500379124,0.0011953506213147073,0.5495597396807287,0.09670715989310116
SARS2-RBD_ACE2_deltaKd_6M0J,21872,0.7017597718188512,0.8886355746201315,0.4327415207815477,0.8783264295339909,0.45717807309557723
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,0.20702899461392657,0.5630949460751118,-0.006217670320691753,0.6090787947157803,0.10998189077175453
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0.2044809732628258,0.722878127741759,0.09746917835534337,0.619631429569168,0.18402855800784984
Z-domain_ZpA963_HL1_fitness_2M5A,2904,0.3943508753907945,0.7640485123944118,0.24381265756862003,0.7920797192863088,0.2772146888323523
Z-domain_ZpA963_HL2_fitness_2M5A,600,0.3637270482342188,0.715,0.24074074074074073,0.7443333885117714,0.2818490607748744
hYAP65_peptide_FunctioncalScore_1JMQ,18407,0.17781339940437063,0.6092954568898701,0.018027965500433046,0.5488578181700174,0.12232661219887764
