DMS_id,n,Spearman,AUC,MCC,NDCG,AP
4D5_HER2_fitness_1N8Z,2080,0.2913863664733531,0.772738946416831,0.28952991452991456,0.8001746547500904,0.31923209966526434
5A12_Ang2_fitness_4ZFG,944,0.12133230792082586,0.6303081024115059,0.087074576901618,0.5824030819883964,0.1491717324316708
5A12_VEGF_fitness_4ZFF,29981,0.4212170623188389,0.6689184340328251,0.07539206557301467,0.7010463049725826,0.15386860752246262
ACE2_SARS2-RBD_enrich_6M17,2186,0.30559580490080324,0.49500200801814415,-0.030143486244495362,0.6080690497656739,0.09810431936566746
BH3_Bcl-xL_normed_1PQ1,518,0.6612118365900188,0.8760316936282602,0.44420600858369097,0.9119701137632756,0.53529662185056
BH3_Mcl-1_normed_3KZ0,518,0.6507622051835555,0.919404093760317,0.40145262462859027,0.8911397922897057,0.5714691920566647
CD19_FMC63_Fitness_7URV,3886,0.572968832833258,0.6435373538364765,0.0543792711769402,0.7586921759896091,0.141517590868765
CXCR4_CXCL12_enrich_8U4O,5585,0.18878409581506198,0.567689873124867,0.04780828422079961,0.6313184246489234,0.1261429760336892
GB1_IgG-Fc_fitness_1FCC,92891,0.5505290482390922,0.7161536640256569,0.12010727130447768,0.7325527517934077,0.1859219724681687
GB1_IgG-Fc_fitness_1FCC_2016,22176,0.48351811751130774,0.7495196630688197,0.1854360342472122,0.8317202712188805,0.23026951289303144
HLA-A2_TAPBPR_meanscore_5WER,3344,0.38130405899804015,0.6508023194099294,0.08107716651041899,0.6756192869127301,0.15507603749127946
KRAS_DARPinK27_norfitness_5O2S,19533,0.34929903414633545,0.6509587251188276,0.09924765423618008,0.7129625783996731,0.16524292518156225
KRAS_PICK3CG-RBD_norfitness_1HE8,19203,0.45652164370183335,0.7250202583099433,0.248046355519348,0.7995583923173483,0.2672685480014331
KRAS_RAF1-RBD_norfitness_6VJJ,23162,0.40376573028097024,0.6957021806243402,0.18329959305654608,0.7806257891846751,0.22122108734608448
KRAS_RAF1_norfitness_6VJJ,12677,0.4532486611053545,0.7221107817089447,0.2183460785427853,0.8035118339030562,0.24237618949965622
KRAS_RALGDS-RBD_norfitness_1LFD,20341,0.49657565716255025,0.7132752601094658,0.2390514635153878,0.8165239139019984,0.25770745351644275
KRAS_SOS1_norfitness_8BE4,19425,0.26968381136265973,0.6427100548918399,0.09129899539931169,0.6418657393120565,0.15376791234106274
PSD95_CRIPT_1BE9,1577,0.40849287162015163,0.5704989250764935,0.0011953506213147073,0.6429747123887212,0.11968447515024841
PSD95_Tm2F_1BE9,1577,0.22057134618976956,0.498764507007074,0.008229186180319533,0.5516807591190527,0.09790321441625172
SARS2-RBD_ACE2_deltaKd_6M0J,21872,0.6939235295130506,0.8860243329988591,0.4161181024685403,0.8603943865087184,0.4380977970307132
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,0.20702899461392657,0.5630949460751118,-0.006217670320691753,0.6090787947157803,0.10998189077175453
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0.2044809732628258,0.722878127741759,0.09746917835534337,0.619631429569168,0.18402855800784984
Z-domain_ZpA963_HL1_fitness_2M5A,2904,0.3943508753907945,0.7640485123944118,0.24381265756862003,0.7920797192863088,0.2772146888323523
Z-domain_ZpA963_HL2_fitness_2M5A,600,0.3637270482342188,0.715,0.24074074074074073,0.7443333885117714,0.2818490607748744
hYAP65_peptide_FunctioncalScore_1JMQ,18407,0.15614805839651558,0.5912466211725448,-0.0030962024205779225,0.5326098998130017,0.11536616433944792
