DMS_id,n,Spearman,AUC,MCC,NDCG,AP
4D5_HER2_fitness_1N8Z,2080,0.37442608729922566,0.8541974852071006,0.3215811965811966,0.842920550423839,0.40508470007960734
5A12_Ang2_fitness_4ZFG,944,0.16710465097825422,0.6244870125844648,0.1572996094476474,0.6602862257566805,0.17987048998601637
5A12_VEGF_fitness_4ZFF,29981,0.18615947399661611,0.538379961981438,-3.3461080681965724e-05,0.6382586726651848,0.10617910243831628
ACE2_SARS2-RBD_enrich_6M17,2186,0.24475416510775908,0.5098323246814447,-0.004770493972463455,0.6156793818885646,0.11249333022206631
BH3_Bcl-xL_normed_1PQ1,518,0.6066624710087999,0.8577500825354902,0.33732254869593925,0.8560046542088757,0.4706173478777672
BH3_Mcl-1_normed_3KZ0,518,0.631466726043039,0.8799108616705184,0.38007593265103995,0.8466345383988156,0.40823044305873135
CD19_FMC63_Fitness_7URV,3886,0.2860368677598289,0.7140803726210402,0.227370837460424,0.7275798471579419,0.2577333879612786
CXCR4_CXCL12_enrich_8U4O,5585,0.08431867964193247,0.5235113723485816,0.06371127738621422,0.5858156371420719,0.12078484487743305
GB1_IgG-Fc_fitness_1FCC,92891,0.6428479158259577,0.7556904431167848,0.14809733363655384,0.7443608795278646,0.20477459828449257
GB1_IgG-Fc_fitness_1FCC_2016,22176,0.5142089569629298,0.753316195299579,0.1754167972760832,0.8381573440394998,0.24479147013602243
HLA-A2_TAPBPR_meanscore_5WER,3344,0.338283927931088,0.62446788986275,0.0545378789006116,0.6407946994720967,0.14125074699976573
KRAS_DARPinK27_norfitness_5O2S,19533,0.36162609141813057,0.6301427222848887,0.10777750599530717,0.6932569936147788,0.16278758791965392
KRAS_PICK3CG-RBD_norfitness_1HE8,19203,0.3931277562872111,0.6637438182108336,0.16648830638721576,0.6649907328766167,0.17995149959131346
KRAS_RAF1-RBD_norfitness_6VJJ,23162,0.3793928699053179,0.6344174840854767,0.10704864490386894,0.7196348046162715,0.16665477702989553
KRAS_RAF1_norfitness_6VJJ,12677,0.4427447204890651,0.6894826860636063,0.18417062681988014,0.7778606625065784,0.2067401803711985
KRAS_RALGDS-RBD_norfitness_1LFD,20341,0.4760193190695376,0.6480746762082882,0.15547276568183024,0.7516233756245276,0.1793288940047649
KRAS_SOS1_norfitness_8BE4,19425,0.3258437549631202,0.6692947110719809,0.11932061228127123,0.6589293947660447,0.17215556045408775
PSD95_CRIPT_1BE9,1577,0.3914884663728055,0.5717745604410308,0.02933069285733401,0.6497868302313914,0.1169764342624369
PSD95_Tm2F_1BE9,1577,0.2282599479643444,0.5338132576872642,0.09263521288837745,0.6043793087002373,0.1338821620433611
SARS2-RBD_ACE2_deltaKd_6M0J,21872,0.7347573467429758,0.8798499728061693,0.35554967759336087,0.8395570849063311,0.37349470026112574
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,0.11152075449217248,0.551962550521786,-0.024792494713199317,0.521471215561606,0.10451848106111233
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0.35484192459964464,0.7915910605836173,0.09150531830042273,0.6480458241645489,0.20753028406831991
Z-domain_ZpA963_HL1_fitness_2M5A,2904,0.15614742772356804,0.6244721410131473,0.10250492186174599,0.6066598639367682,0.1512974806255291
Z-domain_ZpA963_HL2_fitness_2M5A,600,0.2674816393234882,0.698179012345679,0.24074074074074073,0.7258371383004201,0.2433856007755772
hYAP65_peptide_FunctioncalScore_1JMQ,18407,0.16335050784676566,0.5973680541606556,0.027684727978609488,0.5561008816259914,0.12211781314659989
