DMS_id,n,Spearman,AUC,MCC,NDCG,AP
4D5_HER2_fitness_1N8Z,2080,0.3631556043113947,0.8444806562294543,0.4230769230769231,0.9014686650468007,0.3968348102835756
5A12_Ang2_fitness_4ZFG,944,0.12159385578444656,0.6304010910668898,0.0987787489926229,0.6528906017733747,0.17126892846750683
5A12_VEGF_fitness_4ZFF,29981,0.40733583460902445,0.6360528097705219,0.024117569621240603,0.6647621400735189,0.13287968198365438
CXCR4_CXCL12_enrich_8U4O,5585,0.18071242024632905,0.5544462177713457,0.04780828422079961,0.6398795873912726,0.12244590415198388
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,-0.0503102132668774,0.42737248087862656,-0.03554634041412475,0.519355633044025,0.08304784713283016
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0.23775342137387556,0.7466639557672368,0.1471680121463487,0.748101289417335,0.22043194201479158
Z-domain_ZpA963_HL1_fitness_2M5A,2904,0.2740484325291967,0.722609527040978,0.24381265756862003,0.7765375620344624,0.31193363122891216
Z-domain_ZpA963_HL2_fitness_2M5A,600,0.40596525006917394,0.7511728395061728,0.2037037037037037,0.7797306334956562,0.2861708881170721
hYAP65_peptide_FunctioncalScore_1JMQ,18407,0.10526514425238688,0.5590227111897086,-0.014563607863412447,0.49556949508470904,0.10672718446577442
