,n,ProteinMPNN,esmfold_monomer,esmfold_complex,monomer_crystal,complex_crystal,delta_partner,delta_vs_official
ACE2_HUMAN_Chan_2020,2223.0,0.106,0.11185283651064977,,0.08125428609378767,0.07709559067539387,,
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,170.0,-0.005,-0.042421577787141014,0.4298227294655016,0.25402263054084917,0.7255854568548068,0.4722443072526426,0.4348227294655016
CD19_HUMAN_Klesmith_2019_FMC_singles,3761.0,0.174,0.10270651034779796,0.08763045697086673,0.1360740520307405,0.17781222929052046,-0.015076053376931228,-0.08636954302913326
DLG4_RAT_McLaughlin_2012,1576.0,0.135,0.16103393796070362,0.0961490440829931,0.1911206173217277,0.2649508270467899,-0.06488489387771051,-0.03885095591700691
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,3344.0,0.192,0.1709152282593913,0.16185353661156102,0.2597270524910657,0.2574913025929962,-0.009061691647830272,-0.030146463388438988
SPG1_STRSG_Olson_2014,536962.0,0.147,0.20314598248202367,0.18379228087650074,0.33118064490993565,0.3935290120529244,-0.01935370160552294,0.036792280876500744
SPG1_STRSG_Wu_2016,149360.0,0.089,0.10921810066337555,0.09623462818258502,0.18463014196530184,0.22909560423984401,-0.012983472480790528,0.007234628182585023
SPIKE_SARS2_Starr_2020_binding,3802.0,0.16,0.16145716242026473,,0.3894811107397601,0.4151068701768007,,
YAP1_HUMAN_Araya_2012,10075.0,0.197,0.24833546188195155,0.1959554339790542,0.1464663566767884,0.17069462523452814,-0.052380027902897336,-0.0010445660209457974
