assay,n,ProteinMPNN,MPNN_monomer,MPNN_complex,delta_partner,delta_vs_official
ACE2_HUMAN_Chan_2020,2185,0.106,0.08125428609378767,0.07709559067539387,-0.004158695418393796,-0.028904409324606126
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,170,-0.005,0.25402263054084917,0.7255854568548068,0.47156282631395763,0.7305854568548068
CD19_HUMAN_Klesmith_2019_FMC_singles,2995,0.174,0.1360740520307405,0.17781222929052046,0.04173817725977996,0.003812229290520469
DLG4_RAT_McLaughlin_2012,1576,0.135,0.1911206173217277,0.2649508270467899,0.07383020972506221,0.1299508270467899
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,3344,0.192,0.2597270524910657,0.2574913025929962,-0.0022357498980695167,0.06549130259299618
SPG1_STRSG_Olson_2014,536962,0.147,0.33118064490993565,0.39352901205292323,0.06234836714298758,0.24652901205292324
SPG1_STRSG_Wu_2016,149360,0.089,0.18463014196530184,0.22909560423984401,0.04446546227454218,0.14009560423984402
SPIKE_SARS2_Starr_2020_binding,3669,0.16,0.3894811107397601,0.4151068701768007,0.025625759437040596,0.25510687017680067
YAP1_HUMAN_Araya_2012,10075,0.197,0.1464663566767884,0.17069462523452814,0.02422826855773974,-0.026305374765471873
