DMS_id,binary_usable,rho_base,rho_star,rho_loao,rho_fixed1,c_star,gain_loao
4D5_HER2_fitness_1N8Z,False,0.3257859721141187,0.33217060095322726,0.3132103536149562,0.2986276424832695,-0.19999999999999973,-0.0125756184991625
5A12_Ang2_fitness_4ZFG,True,0.10737228692096477,0.10771206713679088,0.07098088632481721,0.05580248400054762,-0.09999999999999964,-0.036391400596147566
5A12_VEGF_fitness_4ZFF,False,0.4522948799109654,0.484584021765583,0.37976957167492453,0.3564655414208935,0.35000000000000053,-0.07252530823604086
ACE2_SARS2-RBD_enrich_6M17,True,0.27595232774303263,0.4428548916376594,0.4116532714314311,0.43324217754145244,-1.9499999999999997,0.13570094368839847
BH3_Bcl-xL_normed_1PQ1,False,0.6514457098326469,0.8111519984355214,0.7777285501184561,0.8076191564563657,-1.15,0.12628284028580916
BH3_Mcl-1_normed_3KZ0,False,0.6496626734152464,0.6916689582928948,0.6899522521846397,0.6878390424550436,-0.5999999999999996,0.04028957876939332
CD19_FMC63_Fitness_7URV,True,0.6031704961466058,0.6144012187235627,0.6017756960267225,0.5885878169776814,-0.25,-0.0013948001198832438
CXCR4_CXCL12_enrich_8U4O,True,0.20144135451728476,0.24877610202719325,0.24815621150708472,0.246861298209584,-0.75,0.04671485698979996
GB1_IgG-Fc_fitness_1FCC,True,0.5004876730948997,0.5443962144754374,0.5352950604100932,0.5102151410588347,-0.44999999999999973,0.034807387315193505
GB1_IgG-Fc_fitness_1FCC_2016,False,0.4841768969227421,0.48469246232730284,0.47767653558837053,0.4768940637252204,-0.04999999999999982,-0.0065003613343715405
HLA-A2_TAPBPR_meanscore_5WER,True,0.4116190978710198,0.4307350223177426,0.4169780153485974,0.3995790223457002,-0.2999999999999998,0.005358917477577607
KRAS_PICK3CG-RBD_norfitness_1HE8,True,0.5020307593607786,0.6129496566827644,0.6112454694035792,0.588857251498213,-0.5999999999999996,0.10921471004280059
KRAS_RAF1-RBD_norfitness_6VJJ,True,0.44129515556233045,0.6078664334457184,0.6035393723200936,0.6027066634787531,-0.7999999999999998,0.16224421675776313
KRAS_RAF1_norfitness_6VJJ,True,0.4870952199597719,0.6195941258138248,0.6188344554563681,0.6101660227377993,-0.6999999999999997,0.13173923549659616
KRAS_RALGDS-RBD_norfitness_1LFD,True,0.5871982626093605,0.6920529825443188,0.6920529825443188,0.6778215292885434,-0.6499999999999999,0.10485471993495832
PSD95_CRIPT_1BE9,True,0.3671972647143384,0.5567391205054676,0.5336231837281225,0.5498410585438992,-2.2,0.16642591901378406
PSD95_Tm2F_1BE9,True,0.19438699337165458,0.2591582355949115,0.25823256044627757,0.25483977935254526,-0.5499999999999998,0.063845567074623
SARS2-RBD_ACE2_deltaKd_6M0J,True,0.6967432722451691,0.7339466676433534,0.706809806975701,0.6733507854118425,-0.2999999999999998,0.010066534730531873
Z-domain_ZSPA-1_LL1_fitness_1LP1,False,0.2002724755052984,0.3834653295212166,0.3163693403380353,0.35129071693380515,-4.0,0.11609686483273693
Z-domain_ZSPA-1_LL2_fitness_1LP1,False,0.2748787541935469,0.33141890125488627,0.22366373146160182,0.21853732735582704,0.6500000000000004,-0.05121502273194509
Z-domain_ZpA963_HL1_fitness_2M5A,False,0.18306705656868424,0.43468872382265006,0.39231842902265857,0.42271143693997404,-4.0,0.20925137245397432
Z-domain_ZpA963_HL2_fitness_2M5A,False,0.3743732185068712,0.42927516957680784,0.4232578104884343,0.4037990687879764,-0.5,0.048884591981563086
hYAP65_peptide_FunctioncalScore_1JMQ,True,0.08864244464975292,0.09363726046637602,0.058994617344103974,0.05036492587289931,0.25,-0.029647827305648945
