DMS_id,n,testable,rho_base,frac_iface,rho_label_only,rho_shift,rho_shift_null,rho_base_sub,rho_ceiling,rho_ceiling_null,n_rep
4D5_HER2_fitness_1N8Z,2079,False,0.3257859721141187,,,,,,,,
5A12_Ang2_fitness_4ZFG,943,True,0.10737228692096477,0.8685047720042418,-0.021175917005070512,0.10778351922336699,0.10925727357112627,0.10737228692096476,0.13139544154208888,0.1315214321907316,5.0
5A12_VEGF_fitness_4ZFF,29980,False,0.4522948799109654,,,,,,,,
ACE2_SARS2-RBD_enrich_6M17,2185,True,0.27595232774303263,0.17391304347826086,-0.363679645546679,0.3928831439679218,0.2763179710823573,0.27875811709962967,0.39474923038730747,0.2923722193930548,5.0
BH3_Bcl-xL_normed_1PQ1,517,False,0.6514457098326469,,,,,,,,
BH3_Mcl-1_normed_3KZ0,517,False,0.6496626734152464,,,,,,,,
CD19_FMC63_Fitness_7URV,3885,True,0.6031704961466058,0.03500643500643501,-0.2229790370675079,0.6183734261320586,0.60320082143133,0.6055990224697292,0.6219814419215156,0.6090259174982238,5.0
CXCR4_CXCL12_enrich_8U4O,5584,True,0.20144135451728476,0.12589541547277938,-0.11081336961923773,0.22968197719764227,0.20146172999448447,0.19508643762223482,0.2289145558274827,0.20595579198102348,5.0
GB1_IgG-Fc_fitness_1FCC,92890,True,0.5004876730948997,0.6297986866185811,-0.19431982685868582,0.5414723212840021,0.5004876730948997,0.503675509119567,0.5546888750744721,0.5141074066491809,5.0
GB1_IgG-Fc_fitness_1FCC_2016,22175,False,0.4841768969227421,,,,,,,,
HLA-A2_TAPBPR_meanscore_5WER,3344,True,0.4116190978710198,0.12320574162679426,-0.12251625225379777,0.4215508570943144,0.4116271816553799,0.41346386818718217,0.4298354796588697,0.4218079144519785,5.0
KRAS_PICK3CG-RBD_norfitness_1HE8,19202,True,0.5020307593607786,0.20326007707530466,-0.14241842904895244,0.5467395383169993,0.5020307593607786,0.5033497760631469,0.5657341952187773,0.5120733868469572,5.0
KRAS_RAF1-RBD_norfitness_6VJJ,23161,True,0.44129515556233045,0.2570268986658607,-0.2362700643515748,0.543836436628506,0.44129515556233045,0.45267590854394424,0.5549678968662554,0.462614809036782,5.0
KRAS_RAF1_norfitness_6VJJ,12676,True,0.4870952199597719,0.3896339539286841,-0.2673674588938287,0.5870357167527045,0.4872203820957129,0.4828344922898138,0.588950133930747,0.492495682652094,5.0
KRAS_RALGDS-RBD_norfitness_1LFD,20340,True,0.5871982626093605,0.27207472959685347,-0.35993761921251705,0.6606852532067492,0.5871982626093605,0.5818914146786587,0.6587147885651414,0.589571071129181,5.0
PSD95_CRIPT_1BE9,1576,True,0.3671972647143384,0.18083756345177665,-0.3816869012001696,0.4631468532555977,0.3672691188718638,0.3671972647143384,0.4684106125003874,0.38015783937200387,5.0
PSD95_Tm2F_1BE9,1576,True,0.19438699337165458,0.19289340101522842,-0.17326809442590824,0.23780606790541317,0.19951371272357837,0.19438699337165458,0.26144548114880267,0.21864084536447007,5.0
SARS2-RBD_ACE2_deltaKd_6M0J,21871,True,0.6967432722451691,0.30922225778428053,-0.2722875888008516,0.7207366993211345,0.6967432722451691,0.6926186236326254,0.7281004634537825,0.6988433459113013,5.0
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,False,0.2002724755052984,,,,,,,,
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,False,0.2748787541935469,,,,,,,,
Z-domain_ZpA963_HL1_fitness_2M5A,2903,False,0.18306705656868424,,,,,,,,
Z-domain_ZpA963_HL2_fitness_2M5A,599,False,0.3743732185068712,,,,,,,,
hYAP65_peptide_FunctioncalScore_1JMQ,18406,True,0.08864244464975292,0.5265674236661958,-0.02602407716839948,0.09115000339428574,0.08892112833826027,0.07376639199326997,0.10788723212918834,0.10718333235067368,5.0
