DMS_id,rho_base,c_star,rho_star,gain_star,rho_shared,gain_shared,rho_fixed1,gain_fixed1
5A12_Ang2_fitness_4ZFG,0.10737228692096477,-0.25,0.10774317805932572,0.0003708911383609459,0.09917574660054602,-0.00819654032041875,0.1007501395925035,-0.006622147328461281
ACE2_SARS2-RBD_enrich_6M17,0.27595232774303263,-2.9,0.3928832486490537,0.11693092090602109,0.365443228417642,0.08949090067460935,0.3604508909111325,0.0844985631680999
CD19_FMC63_Fitness_7URV,0.6031704961466058,-4.0,0.6183043393143406,0.015133843167734806,0.615184283517373,0.012013787370767193,0.6147455260690315,0.011575029922425761
CXCR4_CXCL12_enrich_8U4O,0.20144135451728476,-1.65,0.22970062755170326,0.028259273034418497,0.22729284177965076,0.025851487262365996,0.22629878032384856,0.024857425806563804
GB1_IgG-Fc_fitness_1FCC,0.5004876730948997,-0.8499999999999996,0.5414749543732619,0.04098728127836215,0.5389549166916938,0.0384672435967941,0.5406163553699656,0.04012868227506583
HLA-A2_TAPBPR_meanscore_5WER,0.4116190978710198,-0.6999999999999997,0.4215651940441107,0.00994609617309089,0.4187434544143213,0.007124356543301513,0.4200098532096268,0.008390755338607003
KRAS_PICK3CG-RBD_norfitness_1HE8,0.5020307593607786,-0.9499999999999997,0.5467425721851454,0.04471181282436687,0.5457876455052262,0.043756886144447615,0.5466554482179655,0.044624688857186956
KRAS_RAF1-RBD_norfitness_6VJJ,0.44129515556233045,-1.4499999999999997,0.5438366366177255,0.10254148105539507,0.5388341688596551,0.09753901329732462,0.535252200621769,0.09395704505943858
KRAS_RAF1_norfitness_6VJJ,0.4870952199597719,-1.25,0.587051569225316,0.09995634926554409,0.5858124479401141,0.09871722798034221,0.5835528082794139,0.09645758831964202
KRAS_RALGDS-RBD_norfitness_1LFD,0.5871982626093605,-1.1999999999999997,0.6606852532067492,0.07348699059738872,0.6602735116528221,0.07307524904346163,0.6590811844995886,0.07188292189022816
PSD95_CRIPT_1BE9,0.3671972647143384,-1.75,0.46312870654775407,0.09593144183341568,0.4575415315531897,0.09034426683885133,0.45518661033045255,0.08798934561611416
PSD95_Tm2F_1BE9,0.19438699337165458,-0.9499999999999997,0.23780182207584172,0.04341482870418714,0.23634182536852086,0.04195483199686628,0.23736937743643177,0.042982384064777196
SARS2-RBD_ACE2_deltaKd_6M0J,0.6967432722451691,-0.5499999999999998,0.7207258717806293,0.023982599535460225,0.7060477605069614,0.00930448826179231,0.710468009675467,0.013724737430297895
hYAP65_peptide_FunctioncalScore_1JMQ,0.08864244464975292,-0.44999999999999973,0.09115276384620082,0.0025103191964478966,0.08825681027942665,-0.00038563437032626546,0.0889736430188336,0.00033119836908068745
