DMS_id,bin,n,d_lo,d_hi,d_med,dms_med,dms_mean,mpnn_med,dms_meanrank,mpnn_meanrank
ACE2_SARS2-RBD_enrich_6M17,1,437,24.685780238833857,40.12473085267985,30.510536229309366,0.29256551275,0.29554385620137297,-1642.488525390625,0.6206002021270468,0.6286072608643288
ACE2_SARS2-RBD_enrich_6M17,2,437,14.474290241666441,24.54784344906901,16.745281514504317,0.31880597175,0.2745476793340961,-1642.852294921875,0.6170174216757693,0.5595546921228053
ACE2_SARS2-RBD_enrich_6M17,3,437,8.852112572713908,14.13921825986146,11.188649337609979,0.0672770135,0.19798487173169332,-1643.501708984375,0.5327754766480424,0.48650828144882147
ACE2_SARS2-RBD_enrich_6M17,4,437,5.615459820887333,8.819275763916202,7.218220140727214,-0.4344253595,-0.33074189278718535,-1644.112060546875,0.41796103032429344,0.41291989799391526
ACE2_SARS2-RBD_enrich_6M17,5,437,2.557047320641531,5.449123323985259,3.1866654986050866,-1.288235478,-0.6919627716109841,-1643.993408203125,0.3127900339845734,0.4135540323298546
CD19_FMC63_Fitness_7URV,1,782,22.416137267602558,47.09319736437527,28.415146823481308,-0.3157358179220975,1.1202077787630909,-790.7222595214844,0.32557692877385974,0.303420428100735
CD19_FMC63_Fitness_7URV,2,1849,16.75369314509488,22.259109056743497,16.75369314509488,7.834845549415387,6.785428155871999,-787.0138549804688,0.6312349435118499,0.6898093720700534
CD19_FMC63_Fitness_7URV,3,477,15.015707842123192,16.741028522764072,15.738055534277429,8.221232105378146,6.42551799350359,-789.0858154296875,0.641775198378972,0.4509485226466359
CD19_FMC63_Fitness_7URV,4,777,2.6130015308070726,14.907410036622732,8.853279674787196,-0.7088488198490794,0.13753612221695335,-791.104248046875,0.2768579942325116,0.2769179549102329
CXCR4_CXCL12_enrich_8U4O,1,1118,28.627371831867464,44.948232557020525,34.57801483601973,-0.2458588035,-0.5386175488126118,-757.2258911132812,0.5487813219215648,0.6217763441163354
CXCR4_CXCL12_enrich_8U4O,2,1119,17.45338058944454,28.47615939694114,23.300785051152253,-0.143086464,-0.41778348917158176,-758.50537109375,0.575675970665581,0.4488791382758347
CXCR4_CXCL12_enrich_8U4O,3,1113,10.182788763398742,17.396303889044912,12.941426582877178,-0.678534561,-0.9143417236814914,-758.8543701171875,0.46660816297108665,0.4115657751450042
CXCR4_CXCL12_enrich_8U4O,4,1117,7.031096998335325,10.165639625719567,8.423078415876233,-0.5981420645,-0.9257495345094001,-758.0669555664062,0.4674174582449408,0.4973207277218706
CXCR4_CXCL12_enrich_8U4O,5,1117,2.5153586225427187,6.987664345115612,4.416490009045641,-0.7471681125,-1.0288486307076992,-757.8345947265625,0.4416659665805614,0.5205714690649587
GB1_IgG-Fc_fitness_1FCC,1,18707,6.75965487284669,14.309018519800722,8.438853595127718,0.0674848975765725,-0.1111521879078153,-450.592529296875,0.5711438813627651,0.5098354943812493
GB1_IgG-Fc_fitness_1FCC,2,19910,4.37677838141252,6.709867435352208,6.415721783244656,0.3105805471422389,-0.06765814720338874,-450.66847229003906,0.6040615915661817,0.49738164430214793
GB1_IgG-Fc_fitness_1FCC,3,17346,3.5599664324260147,4.360266390944479,4.099151741519212,-0.8200051529067398,-0.7747849161009905,-451.64442443847656,0.4044314840255755,0.41818024700442186
GB1_IgG-Fc_fitness_1FCC,4,18767,2.852409858347849,3.489343921140477,2.961513802095138,-1.1734263871050177,-0.6804973009817061,-449.9873046875,0.4669969119984818,0.5373368022882421
GB1_IgG-Fc_fitness_1FCC,5,18160,2.6705312205626797,2.8152793822283413,2.7980998909974595,-0.9715806699098928,-0.7397355594896344,-450.2041931152344,0.43804215605071223,0.532333950191193
HLA-A2_TAPBPR_meanscore_5WER,1,682,20.08631489347909,30.494032301419235,23.45728366627303,0.31283470225,0.31615335724486804,-1317.436279296875,0.5487672585556133,0.5734957520099904
HLA-A2_TAPBPR_meanscore_5WER,2,663,16.205860112934452,20.027680944133294,18.033210723551143,0.359778658,0.32787578274358975,-1317.576904296875,0.5587418902047385,0.5179270226677347
HLA-A2_TAPBPR_meanscore_5WER,3,666,11.449576891745828,16.20034336055875,13.625452689727416,0.25353553824999997,0.15105239650531366,-1317.8696899414062,0.5197157384657385,0.483787241188557
HLA-A2_TAPBPR_meanscore_5WER,4,677,6.888266037254947,11.334356002879032,9.600267600436974,0.0808219914999999,-0.026488022052437245,-1318.308837890625,0.46826786484137023,0.43164679524782146
HLA-A2_TAPBPR_meanscore_5WER,5,656,2.5864402177510297,6.751955642626807,4.249063661561213,-0.21618511299999998,-0.25605932430335365,-1317.8641357421875,0.40342504595051926,0.493236430009336
KRAS_DARPinK27_norfitness_5O2S,1,4066,12.01584641213427,32.89043432367532,17.7329520103112,-0.298519717587881,-0.4111061537350268,-402.4374694824219,0.638109076542597,0.4526645907244776
KRAS_DARPinK27_norfitness_5O2S,2,3771,8.325086786334422,11.582347085111891,9.492150335935479,-0.562300672347403,-0.5546037453989562,-402.2550659179688,0.5411093806148467,0.4536335479604881
KRAS_DARPinK27_norfitness_5O2S,3,4198,3.6290873508362957,8.178442394490528,6.138103453021947,-0.6833599492166615,-0.6176793119673228,-401.5121307373047,0.5004845763422446,0.5217909650373285
KRAS_DARPinK27_norfitness_5O2S,4,3731,2.84323090866711,3.60363191794056,3.204281042605343,-0.994058238436867,-0.8438194924791551,-401.61370849609375,0.36375519095370945,0.5367150350635862
KRAS_DARPinK27_norfitness_5O2S,5,3766,2.709995756454239,2.773239621814172,2.7644125958329697,-0.784398623615815,-0.7196676735586583,-401.76646423339844,0.44429637587524706,0.537002495407947
KRAS_PICK3CG-RBD_norfitness_1HE8,1,3844,13.434487001742939,32.07123971722951,17.25617185241269,-0.22428970602807802,-0.35377134549106637,-1594.1408081054688,0.635533854379763,0.45161639179538293
KRAS_PICK3CG-RBD_norfitness_1HE8,2,4217,9.161095240199176,13.417953569751232,10.552134618170863,-0.380434081341952,-0.5415321254225959,-1593.9185791015625,0.5255996325969622,0.47512317839391927
KRAS_PICK3CG-RBD_norfitness_1HE8,3,3557,6.836525067605616,8.961966302101343,7.968631187349552,-0.435821888723682,-0.5622304806391811,-1593.362060546875,0.5161127248218832,0.5247948822920675
KRAS_PICK3CG-RBD_norfitness_1HE8,4,3771,4.745935734920988,6.755076757520975,6.272845765679246,-0.830679241809404,-0.7639160493236661,-1593.884521484375,0.4006281208939967,0.48197195659174435
KRAS_PICK3CG-RBD_norfitness_1HE8,5,3813,2.7195802985019597,4.712006472830869,2.830980748786542,-0.936250719318026,-0.725616740850523,-1592.8988037109375,0.41842974220301654,0.5711199847970203
KRAS_RAF1-RBD_norfitness_6VJJ,1,4725,14.227515489360748,32.30726611770176,18.695899817874505,-0.152311727515815,-0.27809729759169066,-400.3929443359375,0.6299732834044824,0.46149901688868056
KRAS_RAF1-RBD_norfitness_6VJJ,2,4580,9.96613360335893,14.043012390509384,11.151083400279992,-0.1993465740365445,-0.37569743098165914,-400.77940368652344,0.5611707274444373,0.4308039282267341
KRAS_RAF1-RBD_norfitness_6VJJ,3,4709,7.279796219675386,9.46394098671373,8.308071015584783,-0.345955492589682,-0.4381055772388065,-399.43011474609375,0.504791370156199,0.5666943250588692
KRAS_RAF1-RBD_norfitness_6VJJ,4,4549,3.7727672867538486,7.255428657219366,5.8844973447185795,-0.470542447745388,-0.49759043415449344,-400.27532958984375,0.4669161141395761,0.4812627852274276
KRAS_RAF1-RBD_norfitness_6VJJ,5,4598,2.619551297455349,3.7367223605721636,2.7819712435609363,-0.841767043773299,-0.6994810931607279,-399.528564453125,0.33343852521353307,0.5588314848240015
KRAS_RAF1_norfitness_6VJJ,1,2917,9.072233407491234,19.73517129391078,10.549880520650461,-0.565508756177568,-0.6362562343562569,-399.88568115234375,0.6112764500718468,0.4941229544915373
KRAS_RAF1_norfitness_6VJJ,2,2225,7.172982712930514,8.572275018920005,7.539720949743432,-0.983999608164779,-0.7786290026338827,-399.33392333984375,0.5363598909378423,0.5490603671097465
KRAS_RAF1_norfitness_6VJJ,3,2595,5.2282709378914225,7.14274296051594,6.070371734910474,-0.968510283803906,-0.8032077905234216,-401.0070190429688,0.5277174378963843,0.4026726579928024
KRAS_RAF1_norfitness_6VJJ,4,2570,2.9431252097048133,4.503476990060014,3.3191233782431167,-1.113063544592595,-0.8565918827808103,-399.6790008544922,0.48296267157642186,0.5196083502264766
KRAS_RAF1_norfitness_6VJJ,5,2369,2.619551297455349,2.7901019694627647,2.7635770298654605,-1.24410776132811,-1.145928158949628,-399.3845825195313,0.31716547932089584,0.5467095894282957
KRAS_RALGDS-RBD_norfitness_1LFD,1,4306,13.289983069966635,32.491492717325244,18.261598725193803,-0.1777311954470955,-0.34002007285360974,-396.24119567871094,0.6293226083199633,0.475023611607777
KRAS_RALGDS-RBD_norfitness_1LFD,2,3962,9.028816866012946,13.12976926682263,10.91405360074799,-0.22050457750740948,-0.44881699261113045,-396.00733947753906,0.5576066535727563,0.5006463132799948
KRAS_RALGDS-RBD_norfitness_1LFD,3,4025,6.69897842958164,8.83070965438226,7.88275097919502,-0.323225523966305,-0.4972512152560208,-395.24945068359375,0.5284565125780978,0.5588853283008727
KRAS_RALGDS-RBD_norfitness_1LFD,4,4039,4.1790472598428385,6.630245244332964,5.739627949614852,-0.509345987133159,-0.576366211558289,-395.8509826660156,0.463676919211727,0.530115579101791
KRAS_RALGDS-RBD_norfitness_1LFD,5,4008,2.6935949955403387,3.8578142775410957,3.218164383619953,-0.9859529448374971,-0.8263726306856778,-396.8937530517578,0.3122681505229462,0.4368356698598869
KRAS_SOS1_norfitness_8BE4,1,3940,8.896095829070182,22.95380023002726,12.235560346792463,-0.3262866999658625,-0.434800239979158,-953.623046875,0.623522289657883,0.47939177499811836
KRAS_SOS1_norfitness_8BE4,2,3863,5.681984688469337,8.872783216105304,7.197693658388084,-0.81518213588947,-0.6385358270511621,-954.2862548828124,0.49028402938621424,0.4199509622933922
KRAS_SOS1_norfitness_8BE4,3,3880,3.694812038521042,5.6259826697209085,4.418488542476944,-0.8013551687888505,-0.6940782780548026,-952.6710510253906,0.4581446695765893,0.5656707837790214
KRAS_SOS1_norfitness_8BE4,4,3991,2.801128879576945,3.665434489934312,3.0474115245565474,-0.769178794699398,-0.6578504240652013,-953.40380859375,0.4763911049139807,0.5023242872554681
KRAS_SOS1_norfitness_8BE4,5,3750,2.5708029873951848,2.7771339542773066,2.724954495032903,-0.8146166797051335,-0.7080677092510539,-953.0977478027344,0.44879380148270187,0.5338258580450301
PSD95_CRIPT_1BE9,1,322,12.187299865023423,18.358973936470417,13.773027880607806,0.03615599999999995,0.026247021739130433,-183.44775390625,0.6593851483431599,0.5166344152977899
PSD95_CRIPT_1BE9,2,323,10.179455486419696,12.147398610402142,11.303333579081883,0.029794,-0.01565424151702787,-183.43136596679688,0.6184858795241313,0.5451057660574248
PSD95_CRIPT_1BE9,3,304,8.057478824049117,10.112307847370948,8.624041658970246,0.005716199999999999,-0.10414637746710524,-183.8199234008789,0.5430063201309111,0.47670443160566395
PSD95_CRIPT_1BE9,4,323,5.672519986743103,7.97306879438526,6.985556169697581,-0.12922,-0.3029910421981424,-183.77880859375,0.36759205418742436,0.5225086828746994
PSD95_CRIPT_1BE9,5,304,2.7126512861036884,5.224181658403543,3.053429812319085,-0.23661,-0.47538100822368423,-184.42162322998044,0.3046081852791878,0.43548060546353196
PSD95_Tm2F_1BE9,1,322,12.235056436322632,18.36226813332166,13.8095070875104,-0.08337899999999995,-0.10763533170807453,-184.90286254882812,0.5236269193177161,0.5416801321058108
