DMS_id,N,frac_variants_no_iface_mut,idfrac,rho_burial_complex,rho_burial_chainonly,rho_blosum,rho_nmut,rho_hydroph,rho_isiface,rho_dmin,rho_burial_on_iface,rho_burial_on_noniface,n_iface_var,n_noniface_var,sd_iface,sd_noniface,missing
4D5_HER2_fitness_1N8Z,2079,0.0,1.0,0.26097997776075965,0.2353572523999885,0.1255449919358016,0.23179148855627724,0.12907451436450038,0.20604793165136878,0.09614640149086442,0.2601030755743777,,2078,1,1.188,,0
5A12_Ang2_fitness_4ZFG,943,0.127,0.642,0.25114101145377943,0.25100610996835376,0.14824307094410044,0.24676292815245215,0.24735013330754363,-0.003743674586738974,-0.08583663986826064,0.26942136781014187,0.37162024758439693,823,120,0.078,0.08,0
5A12_VEGF_fitness_4ZFF,29980,0.001,0.668,-0.4326140667597093,-0.47002583713811186,-0.07456208155111455,-0.41677427543822543,-0.1875346754686337,-0.33888409069439274,0.14025420147885825,-0.43154792071251463,-0.38662536887579235,29956,24,0.961,0.627,0
Z-domain_ZpA963_HL1_fitness_2M5A,2903,0.0,1.0,0.6931097094287314,0.7036351504512897,-0.2299851773513971,0.6730385048264107,0.4884845568365431,0.6730385048264107,0.5255516337660461,0.6931097094287314,,2903,0,0.615,,0
Z-domain_ZpA963_HL2_fitness_2M5A,599,0.0,1.0,0.5495975201747911,0.5112769664328036,0.03108502631567498,0.5341539330545334,0.33725636403370496,0.5341539330545334,0.2862382929503871,0.5495975201747911,,599,0,0.758,,0
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,0.0,1.0,0.0664941632988198,-0.013971230998014032,-0.02463331935932396,0.10446528948147212,0.147169304811508,0.10446528948147212,0.3743334774129872,0.0664941632988198,,45476,0,0.14,,0
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0.0,1.0,0.007661827582044986,-0.018191819197690258,0.33038536595810314,0.031630922728534364,0.3398308489125638,0.031630922728534364,-0.0166779685241593,0.007661827582044986,,5583,0,0.351,,0
CXCR4_CXCL12_enrich_8U4O,5584,0.874,1.0,0.06083340349731972,0.024034642686556123,0.08215290604238927,,0.05237352583613428,0.11081336961923773,0.1653797397218195,0.11690206664441159,0.030657046536788326,703,4881,1.489,1.412,0
hYAP65_peptide_FunctioncalScore_1JMQ,18406,0.473,1.0,-0.14316508887776117,-0.1427282236725935,0.07102999414405582,-0.495335093462008,-0.13436572054790355,0.025785118918123025,-0.028392239125266287,-0.16950339606112907,-0.16196225963539795,9692,8714,1.16,1.147,0
GB1_IgG-Fc_fitness_1FCC,92890,0.37,1.0,0.5757409179387248,0.5052224033336209,0.17681243085621962,0.013925008997746959,0.07576066512180853,0.231939770272297,0.19670299648548684,0.5904107922849889,0.46425124978180143,58502,34388,1.084,0.756,0
GB1_IgG-Fc_fitness_1FCC_2016,22175,0.0,1.0,0.25824894886097016,0.25824894886097016,0.23288867751823422,0.265540203648768,0.42580821441818856,0.265540203648768,0.12974925201996437,0.25824894886097016,,22175,0,1.018,,0
SARS2-RBD_ACE2_deltaKd_6M0J,21871,0.691,1.0,0.6459603734126517,0.6209898661175666,0.4453312583173218,0.5144455944886904,0.41731281968273154,0.27959519044681697,0.4109941587389726,0.5731295498171158,0.6375608280749184,6763,15108,1.703,1.858,0
KRAS_DARPinK27_norfitness_5O2S,19532,0.541,1.0,0.3404589157259651,0.2580641547859638,0.250616388097296,0.2345428891234273,0.23565771208805414,0.22480623922819157,0.27671688316987125,0.30993748574533936,0.38267303573883754,8974,10558,0.414,0.471,0
KRAS_PICK3CG-RBD_norfitness_1HE8,19202,0.797,1.0,0.315333956232413,0.2723445909449347,0.27135494393380244,0.21688669013752762,0.27329973494362975,0.1424875050091841,0.2880749008182508,0.32737674486963064,0.3056919123235129,3903,15299,0.553,0.479,0
KRAS_RAF1_norfitness_6VJJ,12676,0.61,1.0,0.42907695852494887,0.2908789470010432,0.18125347003817438,0.2496362200416201,0.11400088409664635,0.27720182338318367,0.3585182636566014,0.42332585155423363,0.40101575828965225,4939,7737,0.462,0.509,0
KRAS_RAF1-RBD_norfitness_6VJJ,23161,0.743,1.0,0.39862145416702677,0.2951632933955071,0.31343856874269344,0.25980603338119374,0.27015400099460984,0.24136831918683158,0.35755058823897895,0.386887349516306,0.3784002317788262,5953,17208,0.39,0.376,0
KRAS_RALGDS-RBD_norfitness_1LFD,20340,0.728,1.0,0.40165080825660465,0.29226327062984464,0.26042265893561717,0.2382964386726548,0.2270418496553595,0.36083026587687045,0.3891115853004414,0.38750776748669963,0.34768453068953226,5534,14806,0.384,0.438,0
KRAS_SOS1_norfitness_8BE4,19424,0.488,1.0,0.18009018151890438,0.13755465543975068,0.24946038108606103,0.2376625279443737,0.23173457791471094,0.20679728667166572,0.19664509920379858,0.07051680999787506,0.246001747738942,9949,9475,0.454,0.446,0
BH3_Mcl-1_normed_3KZ0,517,0.0,1.0,0.228711554095073,0.34333094365246475,0.4897018878481828,0.32037598272825885,0.36422821730922383,0.32037598272825885,0.508604582493734,0.228711554095073,,517,0,0.492,,0
BH3_Bcl-xL_normed_1PQ1,517,0.0,1.0,0.530474533740661,0.5242692511383119,0.5299913654661791,0.5793862145549664,0.3680060539837999,0.5793862145549664,0.6993940831555673,0.530474533740661,,517,0,0.318,,0
HLA-A2_TAPBPR_meanscore_5WER,3344,0.877,1.0,0.19388990693774383,0.15018362639561617,0.16035479304970085,,0.06388400765445018,0.12251625225379777,0.18110879209757927,0.3387473974318452,0.15001289975380502,412,2932,1.405,1.001,0
PSD95_CRIPT_1BE9,1576,0.819,1.0,0.4441063494398635,0.3662572557437515,0.21542862727140039,,0.17481662409367255,0.3816869012001696,0.48629296113198794,0.46274575111037125,0.38137326054226184,285,1291,0.55,0.32,0
PSD95_Tm2F_1BE9,1576,0.807,1.0,0.20365646808979504,0.17745280684147782,0.12690548367146723,,0.12972919856665052,0.17326809442590824,0.1983353975789595,0.4002880554251707,0.14006829188498926,304,1272,0.549,0.338,0
ACE2_SARS2-RBD_enrich_6M17,2185,0.826,1.0,0.3129499495710185,0.12500916000514659,0.12471446970059027,,0.003933560730470755,0.363679645546679,0.4005618209385973,0.37268593949933976,0.2418827569326868,380,1805,1.408,0.917,0
CD19_FMC63_Fitness_7URV,3885,0.965,1.0,-0.662806795288148,-0.6673127475616777,-0.36024441835418547,-0.7351137873610962,-0.4908752765827588,0.2229790370675079,-0.03977981647617474,0.017206904190880206,-0.6536692964865845,136,3749,2.883,4.881,0
