DMS_id,ProteinMPNN,MPNN-1chain,ESM-IF1,PiFold,ByProt,PPIformer,SaProt,ProGen2,ESM1v,ESM2,ESM2-allchain,EVE,Tranception,TranceptEVE
4D5_HER2_fitness_1N8Z,0.3153862077049826,0.3404484154942913,0.3165602717532008,0.3941048496766045,0.3379492530769297,0.0868307716411248,0.379451435060391,0.2501353236576591,0.2462326521977453,0.1945036753036946,0.1949677197393222,0.2115454074722053,0.2553138190856445,0.2357664189106085
5A12_Ang2_fitness_4ZFG,0.1171141014925753,0.1191567058859977,0.1241522039407809,0.1249735031838367,0.1198894354019199,0.0180688531577349,0.1602295028106819,0.1332810805767901,0.1737670577537831,0.1642569390828435,0.1607943833808714,-0.0186860724234993,0.0908823423842337,0.0937146765869081
5A12_VEGF_fitness_4ZFF,0.477522778613376,0.4628256434184616,0.0947620267646018,0.2672360604937457,-0.1683387310358354,0.1013535090055863,-0.1377924838549857,0.0201871470869263,-0.0492075772631094,-0.0705252099660806,-0.0737639461950447,-0.2112646063246262,0.1015349131046314,0.1035199503978842
Z-domain_ZpA963_HL1_fitness_2M5A,0.1355758603879809,0.1997612822756908,0.4264179169162959,0.0670120780635979,-0.0160068798523305,0.1909865116474761,0.0686189509913791,-0.0777360398737991,0.0627283192703023,0.0598862761835257,0.0598862761835257,0.4741892683398205,0.3364102309679675,0.4415752916332149
Z-domain_ZpA963_HL2_fitness_2M5A,0.3374851134999018,0.3373659187210498,0.3094213680988384,0.2646732147776304,0.270968343550075,0.1801988111133312,0.2533998775941011,0.2134144598572346,0.2987691715468424,0.2581071130227338,0.2581071130227338,0.3705465118110471,0.3786651456994366,0.3951223029820168
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.3065592405334976,0.1591128660085791,0.1415096368470055,0.0518303442909203,-0.0222717655386048,0.1416032430879706,0.2927150776464893,0.0299795669766386,0.0801767122747046,0.136443809361112,0.136443809361112,0.0766273461394511,0.1608270562316912,0.101639465714917
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.325765962731702,0.2868682709703488,0.2573219333277649,0.2534764817515681,0.031761138938477,0.1821730813917478,-0.104414590716963,-0.061022233542944,-0.0347840193954784,-0.0088041406210433,-0.0088041406210433,-0.0477803408855186,-0.0275793641588372,-0.0348529642961186
CXCR4_CXCL12_enrich_8U4O,0.2030037658150084,0.1772037570133058,0.1515090045738857,0.1176937902408692,0.1405027367396704,0.0756654236612456,0.1529010917310522,0.0946616923252981,0.1326703733130442,0.1322838768136495,0.1185177981818392,0.1197959294380229,0.1283398184181051,0.1263502761473819
hYAP65_peptide_FunctioncalScore_1JMQ,0.1153027032730904,0.1116024745613154,0.0475974712783808,0.0646021876895489,0.0640463187435034,0.1194846017394176,0.1955961002398819,0.1738726506884226,0.1957780547125311,0.2326924485154312,0.2572360651074399,0.2390508027355367,0.2302389934841122,0.2235293318022853
GB1_IgG-Fc_fitness_1FCC,0.494957710500244,0.369200083189184,0.5918987151168137,0.5209990074777491,0.4245608397144996,0.4261535659213558,0.1979223725035653,-0.0945414321026456,-0.0067537319013743,0.0459072357832165,-0.1516491881213286,0.3077124263206665,0.2312275828089743,0.3109872302996362
