DMS_id,n,n_mut_mean,rho_zs,ceil_max,cstar_max,ceil_sum,cstar_sum,headroom_max,headroom_sum
5A12_Ang2_fitness_4ZFG,943,3.537645811240721,0.10737228692096477,0.10768952817497286,-0.09999999999999964,0.16773970431964583,-4.0,0.0003172412540080882,0.06036741739868105
ACE2_SARS2-RBD_enrich_6M17,2185,1.0,0.27595232774303263,0.44285146131752673,-1.9499999999999997,0.44285146131752673,-1.9499999999999997,0.1668991335744941,0.1668991335744941
CD19_FMC63_Fitness_7URV,3885,2.044015444015444,0.6031704961466058,0.6143992003675334,-0.25,0.6047102145336425,-0.04999999999999982,0.011228704220927588,0.0015397183870367037
CXCR4_CXCL12_enrich_8U4O,5584,1.0,0.20144135451728476,0.24877734424235215,-0.75,0.24877734424235215,-0.75,0.04733598972506739,0.04733598972506739
GB1_IgG-Fc_fitness_1FCC,92890,1.9887501345677683,0.5004876730948997,0.5443980650408133,-0.44999999999999973,0.5515265277194182,-0.44999999999999973,0.04391039194591362,0.051038854624518515
HLA-A2_TAPBPR_meanscore_5WER,3344,1.0,0.4116190978710198,0.4307332579576987,-0.2999999999999998,0.4307332579576987,-0.2999999999999998,0.019114160086678877,0.019114160086678877
KRAS_PICK3CG-RBD_norfitness_1HE8,19202,1.8625663993334027,0.5020307593607786,0.6129545720878787,-0.5999999999999996,0.6298483606202395,-0.6999999999999997,0.11092381272710017,0.12781760125946096
KRAS_RAF1-RBD_norfitness_6VJJ,23161,1.8780277190104053,0.44129515556233045,0.6078619355796521,-0.7999999999999998,0.6356192115902198,-0.8999999999999999,0.16656678001732161,0.19432405602788938
KRAS_RAF1_norfitness_6VJJ,12676,1.9062795834648154,0.4870952199597719,0.6195944807985195,-0.6999999999999997,0.6482098510469588,-0.8499999999999996,0.13249926083874763,0.16111463108718693
KRAS_RALGDS-RBD_norfitness_1LFD,20340,1.8749262536873157,0.5871982626093605,0.6920567895701186,-0.6499999999999999,0.7086828094190055,-0.75,0.10485852696075815,0.12148454680964504
PSD95_CRIPT_1BE9,1576,1.0,0.3671972647143384,0.5567404816235152,-2.2,0.5567404816235152,-2.2,0.1895432169091768,0.1895432169091768
PSD95_Tm2F_1BE9,1576,1.0,0.19438699337165458,0.25916616318715335,-0.5499999999999998,0.25916616318715335,-0.5499999999999998,0.06477916981549878,0.06477916981549878
SARS2-RBD_ACE2_deltaKd_6M0J,21871,2.6592291161812445,0.6967432722451691,0.7339459300998595,-0.2999999999999998,0.7357959378973484,-0.3999999999999999,0.03720265785469046,0.03905266565217935
hYAP65_peptide_FunctioncalScore_1JMQ,18406,2.7323155492774096,0.08864244464975292,0.09364140673336452,0.25,0.1694930722494817,2.2,0.0049989620836115994,0.08085062759972879
