DMS_id,lam,rho,rho_base,gain,corr_w_after,corr_w_before,ds_rms
PSD95_CRIPT_1BE9,0.03,0.5540702334356034,0.367196156506738,0.18687407692886537,-0.8651952702156714,-0.07955690401739719,3.7198736667633057
PSD95_CRIPT_1BE9,0.1,0.5578815408461799,0.367196156506738,0.19068538433944193,-0.7101487092868741,-0.07955690401739719,2.6044905185699463
PSD95_CRIPT_1BE9,0.3,0.5342989938623055,0.367196156506738,0.16710283735556752,-0.47726344074837257,-0.07955690401739719,1.7238954305648804
PSD95_CRIPT_1BE9,1.0,0.45885482634501595,0.367196156506738,0.09165866983827797,-0.20409337444754028,-0.07955690401739719,1.336243987083435
PSD95_CRIPT_1BE9,3.0,0.4205304244241849,0.367196156506738,0.05333426791744694,-0.12864486367812847,-0.07955690401739719,1.1458165645599365
PSD95_CRIPT_1BE9,10.0,0.4064774728309971,0.367196156506738,0.03928131632425913,-0.09482755041717088,-0.07955690401739719,1.253004789352417
PSD95_CRIPT_1BE9,30.0,0.3959024298251061,0.367196156506738,0.028706273318368114,-0.08319651785723436,-0.07955690401739719,1.8348329067230225
KRAS_RAF1-RBD_norfitness_6VJJ,0.03,0.5639144466431697,0.4412949857696844,0.1226194608734853,-0.80448218166129,0.13683339207316997,5.993338584899902
KRAS_RAF1-RBD_norfitness_6VJJ,0.1,0.6526255231947644,0.4412949857696844,0.21133053742508,-0.6581879287715231,0.13683339207316997,4.2838053703308105
KRAS_RAF1-RBD_norfitness_6VJJ,0.3,0.669394105997924,0.4412949857696844,0.22809912022823964,-0.3556767866054931,0.13683339207316997,3.0953829288482666
KRAS_RAF1-RBD_norfitness_6VJJ,1.0,0.5589707520517353,0.4412949857696844,0.1176757662820509,-0.03871257068050575,0.13683339207316997,3.6993985176086426
KRAS_RAF1-RBD_norfitness_6VJJ,3.0,0.5040626057041286,0.4412949857696844,0.06276761993444424,0.0674377141818943,0.13683339207316997,3.051388740539551
KRAS_RAF1-RBD_norfitness_6VJJ,10.0,0.47559861447648877,0.4412949857696844,0.03430362870680437,0.1095852016800063,0.13683339207316997,4.383223533630371
KRAS_RAF1-RBD_norfitness_6VJJ,30.0,0.46447587849167177,0.4412949857696844,0.023180892721987367,0.12595307293350474,0.13683339207316997,3.1912102699279785
GB1_IgG-Fc_fitness_1FCC,0.03,0.2994457285613984,0.5004876639300487,-0.20104193536865034,-0.8277174666944569,0.04027078273567058,6.483126163482666
GB1_IgG-Fc_fitness_1FCC,0.1,0.42102097896997703,0.5004876639300487,-0.0794666849600717,-0.6986738293627559,0.04027078273567058,6.201230525970459
GB1_IgG-Fc_fitness_1FCC,0.3,0.5644662199339738,0.5004876639300487,0.0639785560039251,-0.39716252656642037,0.04027078273567058,3.4630367755889893
GB1_IgG-Fc_fitness_1FCC,1.0,0.5550622209167697,0.5004876639300487,0.05457455698672098,-0.11963696927209982,0.04027078273567058,4.174040794372559
GB1_IgG-Fc_fitness_1FCC,3.0,0.5319418029856593,0.5004876639300487,0.031454139055610564,-0.030298007767456676,0.04027078273567058,3.6736550331115723
GB1_IgG-Fc_fitness_1FCC,10.0,0.5205768886506351,0.5004876639300487,0.020089224720586385,0.005672477189701563,0.04027078273567058,4.056767463684082
GB1_IgG-Fc_fitness_1FCC,30.0,0.5189607177605391,0.5004876639300487,0.01847305383049036,0.01380070057814894,0.04027078273567058,3.0563290119171143
ACE2_SARS2-RBD_enrich_6M17,0.03,0.32366950796365895,0.27594898129880946,0.047720526664849494,-0.3402181737370043,-0.21917448593620695,11.701684951782227
ACE2_SARS2-RBD_enrich_6M17,0.1,0.2973329481792387,0.27594898129880946,0.02138396688042926,-0.2711454789338406,-0.21917448593620695,15.062919616699219
ACE2_SARS2-RBD_enrich_6M17,0.3,0.2851118531112351,0.27594898129880946,0.009162871812425644,-0.23369726578020542,-0.21917448593620695,10.465652465820312
ACE2_SARS2-RBD_enrich_6M17,1.0,0.27928143045789716,0.27594898129880946,0.0033324491590877026,-0.22312188474066255,-0.21917448593620695,15.712518692016602
ACE2_SARS2-RBD_enrich_6M17,3.0,0.2792751931423188,0.27594898129880946,0.0033262118435093413,-0.2194882878378516,-0.21917448593620695,13.6307373046875
ACE2_SARS2-RBD_enrich_6M17,10.0,0.2785099914942784,0.27594898129880946,0.002561010195468949,-0.21870362917850703,-0.21917448593620695,10.013648986816406
ACE2_SARS2-RBD_enrich_6M17,30.0,0.279624421985622,0.27594898129880946,0.0036754406868125256,-0.2184309341333673,-0.21917448593620695,12.122138023376465
