lam,step,l_div,l_anchor
0.001,0,0.09823837131261826,50.20462417602539
0.001,50,0.3533923625946045,3.218898057937622
0.001,100,-0.3507789671421051,2.743701696395874
0.001,150,-0.09421424567699432,4.940341472625732
0.001,200,0.2134064882993698,4.928567409515381
0.001,250,-0.14620980620384216,5.291810989379883
0.001,299,-0.3264120817184448,5.350992679595947
0.003,0,-0.025091856718063354,52.21320724487305
0.003,50,-0.08461359143257141,4.842672824859619
0.003,100,-0.15157607197761536,3.3870534896850586
0.003,150,-0.3325265049934387,6.918181896209717
0.003,200,-0.3934377133846283,4.775698184967041
0.003,250,-0.2776729166507721,7.955636024475098
0.003,299,-0.1437201201915741,4.9861650466918945
0.01,0,0.0836508721113205,36.919219970703125
0.01,50,0.04593893885612488,3.436556100845337
0.01,100,-0.32647326588630676,3.349809169769287
0.01,150,-0.015706121921539307,3.657827377319336
0.01,200,-0.5319183468818665,3.2135369777679443
0.01,250,-0.5284528136253357,5.112235069274902
0.01,299,-0.48323339223861694,7.136648654937744
0.03,0,0.30711182951927185,38.61569595336914
0.03,50,0.2053755521774292,2.5017948150634766
0.03,100,0.0118047334253788,2.3637020587921143
0.03,150,-0.2486429512500763,6.171494007110596
0.03,200,-0.27244099974632263,4.115362167358398
0.03,250,-0.31135621666908264,3.953655958175659
0.03,299,-0.25199273228645325,3.0605790615081787
0.1,0,0.2571047246456146,48.65843200683594
0.1,50,-0.052730854600667953,4.99716329574585
0.1,100,0.04252690076828003,3.7281599044799805
0.1,150,-0.3104058504104614,2.6661312580108643
0.1,200,-0.031327150762081146,3.1431357860565186
0.1,250,-0.061241790652275085,2.99229097366333
0.1,299,0.21282245218753815,5.323401927947998
0.3,0,0.525573194026947,35.63362503051758
0.3,50,-0.0694119855761528,4.120975017547607
0.3,100,0.10863432288169861,3.4333994388580322
0.3,150,-0.34736892580986023,3.290945053100586
0.3,200,-0.27691057324409485,3.104048728942871
0.3,250,-0.2245991826057434,4.448299884796143
0.3,299,-0.16260869801044464,2.860445499420166
1.0,0,0.12804974615573883,36.31459045410156
1.0,50,-0.18265971541404724,3.2365846633911133
1.0,100,-0.06795007735490799,4.556475639343262
1.0,150,-0.08441950380802155,3.2356221675872803
1.0,200,-0.22385333478450775,3.0998659133911133
1.0,250,-0.08505090326070786,2.8519234657287598
1.0,299,0.1289205253124237,2.241408109664917
3.0,0,-0.18155285716056824,48.43486404418945
3.0,50,-0.07758454978466034,3.0830581188201904
3.0,100,0.03699416667222977,3.4178431034088135
3.0,150,0.010138530284166336,2.1105449199676514
3.0,200,-0.249688982963562,3.6827785968780518
3.0,250,-0.2617568075656891,2.6381783485412598
3.0,299,-0.05304258316755295,2.79665470123291
