DMS_id,lam,rho,rho_base,gain,r2_scalar,rho_scalar_only,gain_beyond_scalar,resid_rms_frac,rho_resid_y
GB1_IgG-Fc_fitness_1FCC,0.001,0.2773960417599528,0.5004876730948997,-0.2230916313349468,0.7556480756714512,0.4657233623569892,-0.18832732059703639,0.38260128735901555,-0.4376245927469472
GB1_IgG-Fc_fitness_1FCC,0.001,0.2312963194799144,0.5004876730948997,-0.2691913536149853,0.8023473343936207,0.42875644992829204,-0.19746013044837765,0.3255479620354058,-0.48067540876418596
GB1_IgG-Fc_fitness_1FCC,0.001,0.218542007227596,0.5004876730948997,-0.2819456658673037,0.8183203772491975,0.4148354083176932,-0.1962934010900972,0.3570421473869493,-0.4898535015542733
GB1_IgG-Fc_fitness_1FCC,0.001,0.2230329554343887,0.5004876730948997,-0.2774547176605109,0.8233163411671787,0.4134716961388382,-0.19043874070444952,0.3652936056408155,-0.48620449563595003
GB1_IgG-Fc_fitness_1FCC,0.003,0.2866381168893109,0.5004876730948997,-0.2138495562055888,0.7588380119568912,0.46744599766980305,-0.18080788078049215,0.32554652955024777,-0.42809037991677595
GB1_IgG-Fc_fitness_1FCC,0.003,0.2269477687893606,0.5004876730948997,-0.2735399043055391,0.7783799182619743,0.44084070063675873,-0.21389293184739813,0.34140220480071515,-0.4979617666913518
GB1_IgG-Fc_fitness_1FCC,0.003,0.2215391470424853,0.5004876730948997,-0.2789485260524144,0.7719859474612324,0.4387218080727176,-0.2171826610302323,0.3848395181189271,-0.4943717974809099
GB1_IgG-Fc_fitness_1FCC,0.003,0.2174654855611039,0.5004876730948997,-0.2830221875337958,0.7512686438784695,0.44648494761443963,-0.22901946205333573,0.39653164158592696,-0.5015811011970052
GB1_IgG-Fc_fitness_1FCC,0.01,0.2937476878409879,0.5004876730948997,-0.2067399852539118,0.7482847772178848,0.47653264461582967,-0.18278495677484174,0.306960364155329,-0.438774937424642
GB1_IgG-Fc_fitness_1FCC,0.01,0.238841528070057,0.5004876730948997,-0.2616461450248426,0.7217703390162071,0.4688277327188279,-0.22998620464877087,0.34838604541421564,-0.5012587410922114
GB1_IgG-Fc_fitness_1FCC,0.01,0.2328347373389103,0.5004876730948997,-0.2676529357559894,0.676225979369823,0.478759148717747,-0.2459244113788367,0.39125642466918337,-0.49894983240649904
GB1_IgG-Fc_fitness_1FCC,0.01,0.2298641272561102,0.5004876730948997,-0.2706235458387894,0.6285720598912694,0.49086494240883527,-0.2610008151527251,0.4196155471157229,-0.49917774382460006
GB1_IgG-Fc_fitness_1FCC,0.03,0.3196278022033983,0.5004876730948997,-0.1808598708915014,0.7394017082978133,0.4947533441078133,-0.17512554190441498,0.2791695503938742,-0.46180275170046037
GB1_IgG-Fc_fitness_1FCC,0.03,0.2642081646626212,0.5004876730948997,-0.2362795084322785,0.6512679265932282,0.4988576758346659,-0.2346495111720447,0.3489567831566066,-0.5070709163886181
GB1_IgG-Fc_fitness_1FCC,0.03,0.2499710461267302,0.5004876730948997,-0.2505166269681695,0.5739784818422008,0.5112613695072674,-0.2612903233805372,0.4029021676646669,-0.5068356146420314
GB1_IgG-Fc_fitness_1FCC,0.03,0.2533963095117262,0.5004876730948997,-0.2470913635831734,0.5233080123574543,0.5199514409593574,-0.2665551314476312,0.4430687392678914,-0.5003589974512943
GB1_IgG-Fc_fitness_1FCC,0.1,0.4093976582595071,0.5004876730948997,-0.0910900148353926,0.7278862872880153,0.5241396494646066,-0.11474199120509948,0.2993516824974759,-0.3843743522266501
GB1_IgG-Fc_fitness_1FCC,0.1,0.3353275990341508,0.5004876730948997,-0.1651600740607489,0.6339131653604062,0.5225301927801494,-0.18720259374599862,0.30109566545069827,-0.5068902837955089
GB1_IgG-Fc_fitness_1FCC,0.1,0.3152784151541721,0.5004876730948997,-0.1852092579407275,0.5362194535017375,0.5302877809426231,-0.21500936578845098,0.3629030759633332,-0.5048581198047786
GB1_IgG-Fc_fitness_1FCC,0.1,0.2997513243874178,0.5004876730948997,-0.2007363487074818,0.4756215421746506,0.5356516884375453,-0.2359003640501275,0.4442929555094619,-0.5095392931639151
GB1_IgG-Fc_fitness_1FCC,0.3,0.5174492424531307,0.5004876730948997,0.016961569358231,0.6747705326116663,0.551178717972393,-0.03372947551926231,0.21080831024672878,-0.1638747937103673
GB1_IgG-Fc_fitness_1FCC,0.3,0.4575598333375127,0.5004876730948997,-0.042927839757387,0.7128211288686817,0.5412361732735433,-0.08367633993603063,0.2176200829862127,-0.46557940878470006
GB1_IgG-Fc_fitness_1FCC,0.3,0.4318237075488256,0.5004876730948997,-0.0686639655460741,0.6265882304004425,0.5417885271800525,-0.10996481963122695,0.25924671347256095,-0.5022606258473871
GB1_IgG-Fc_fitness_1FCC,0.3,0.4138898912327247,0.5004876730948997,-0.086597781862175,0.5514915646823401,0.5438084467005461,-0.12991855546782138,0.3328891733933507,-0.5115727644664192
GB1_IgG-Fc_fitness_1FCC,1.0,0.5282425996322148,0.5004876730948997,0.027754926537315,0.4188726179211808,0.5375528951582629,-0.009310295526048118,0.1470623198019143,-0.02875371410574233
GB1_IgG-Fc_fitness_1FCC,1.0,0.5341575432755643,0.5004876730948997,0.0336698701806645,0.6536581489455611,0.5487178079045899,-0.014560264629025599,0.13178536725903278,-0.18100093072584922
GB1_IgG-Fc_fitness_1FCC,1.0,0.5345199575767706,0.5004876730948997,0.0340322844818709,0.7153604693135938,0.5507266241009289,-0.016206666524158253,0.15065078705170493,-0.2916181442555769
GB1_IgG-Fc_fitness_1FCC,1.0,0.5380393503590265,0.5004876730948997,0.0375516772641267,0.7248563313667709,0.5511664688898089,-0.013127118530782411,0.16694285814729692,-0.31352756887860084
GB1_IgG-Fc_fitness_1FCC,3.0,0.5130750950981439,0.5004876730948997,0.0125874220032441,0.1837069872329914,0.5220366915376996,-0.008961596439555741,0.13103794076218653,-0.012244551117187646
GB1_IgG-Fc_fitness_1FCC,3.0,0.5241888921624527,0.5004876730948997,0.0237012190675529,0.32505447114923003,0.5291196743707223,-0.004930782208269591,0.1406844940467994,-0.04438456810470999
GB1_IgG-Fc_fitness_1FCC,3.0,0.5279628411610973,0.5004876730948997,0.0274751680661975,0.3964836521607058,0.5322270306750317,-0.00426418951393448,0.14407358384232327,-0.05280829929127171
GB1_IgG-Fc_fitness_1FCC,3.0,0.5274988071489127,0.5004876730948997,0.027011134054013,0.4337293302365396,0.5332227370839968,-0.005723929935084082,0.13140632307803707,-0.05775879714266137
GB1_IgG-Fc_fitness_1FCC,1.0,0.5553187213376048,0.5004876730948997,0.0548310482427051,0.6561272392902726,0.5330067457582987,0.022311975579306198,0.1063322663398711,0.01634579505653524
