DMS_id,lam,rho,rho_base,gain,corr_w_after,corr_w_before,ds_rms
PSD95_CRIPT_1BE9,0.03,0.5540695990362989,0.3671972647143384,0.18687233432196054,-0.8651966717044034,-0.07955690401739719,3.719740629196167
PSD95_CRIPT_1BE9,0.1,0.5578825218321616,0.3671972647143384,0.1906852571178232,-0.7101486991072322,-0.07955690401739719,2.6045191287994385
PSD95_CRIPT_1BE9,0.3,0.5342986374359191,0.3671972647143384,0.1671013727215807,-0.4772639631847365,-0.07955690401739719,1.723954677581787
PSD95_CRIPT_1BE9,1.0,0.45885137673669585,0.3671972647143384,0.09165411202235746,-0.20409341338678047,-0.07955690401739719,1.3362404108047485
PSD95_CRIPT_1BE9,3.0,0.42052937656133166,0.3671972647143384,0.05333211184699327,-0.12864510491830897,-0.07955690401739719,1.145790934562683
PSD95_CRIPT_1BE9,10.0,0.40647809576702637,0.3671972647143384,0.03928083105268798,-0.09482782156007614,-0.07955690401739719,1.253004550933838
PSD95_CRIPT_1BE9,30.0,0.3959027507851773,0.3671972647143384,0.028705486070838893,-0.08319641284426002,-0.07955690401739719,1.8348283767700195
PSD95_Tm2F_1BE9,0.03,0.21548148818959698,0.19438699337165458,0.0210944948179424,-0.8583970283270556,-0.010040252432799945,3.3365557193756104
PSD95_Tm2F_1BE9,0.1,0.22792449719144617,0.19438699337165458,0.03353750381979159,-0.7178836547125401,-0.010040252432799945,2.859766960144043
PSD95_Tm2F_1BE9,0.3,0.2407536658969685,0.19438699337165458,0.04636667252531393,-0.43494556603892043,-0.010040252432799945,1.6270381212234497
PSD95_Tm2F_1BE9,1.0,0.23005878681353517,0.19438699337165458,0.035671793441880595,-0.14348930026379605,-0.010040252432799945,1.319677710533142
PSD95_Tm2F_1BE9,3.0,0.21757951845411924,0.19438699337165458,0.023192525082464666,-0.06775173280187786,-0.010040252432799945,0.8594158887863159
PSD95_Tm2F_1BE9,10.0,0.2143717037757881,0.19438699337165458,0.01998471040413352,-0.031715639528027,-0.010040252432799945,1.2175601720809937
PSD95_Tm2F_1BE9,30.0,0.2096476308331573,0.19438699337165458,0.015260637461502718,-0.01978028372855418,-0.010040252432799945,1.4318807125091553
5A12_Ang2_fitness_4ZFG,0.03,0.02756155142197846,0.10737228692096477,-0.07981073549898632,-0.7193643433036863,-0.02428144456674808,11.767952919006348
5A12_Ang2_fitness_4ZFG,0.1,0.05444676148000789,0.10737228692096477,-0.05292552544095688,-0.5539712461635111,-0.02428144456674808,12.038429260253906
5A12_Ang2_fitness_4ZFG,0.3,0.08968310768466208,0.10737228692096477,-0.0176891792363027,-0.32037502648670924,-0.02428144456674808,12.482579231262207
5A12_Ang2_fitness_4ZFG,1.0,0.10838493385454447,0.10737228692096477,0.0010126469335796917,-0.11625705448189178,-0.02428144456674808,12.437914848327637
5A12_Ang2_fitness_4ZFG,3.0,0.10980934218439918,0.10737228692096477,0.0024370552634344067,-0.06910491701942724,-0.02428144456674808,11.558744430541992
5A12_Ang2_fitness_4ZFG,10.0,0.11260732214211136,0.10737228692096477,0.005235035221146586,-0.04243805099132331,-0.02428144456674808,12.881513595581055
5A12_Ang2_fitness_4ZFG,30.0,0.11210603376453487,0.10737228692096477,0.0047337468435701,-0.035592158780918315,-0.02428144456674808,11.993532180786133
HLA-A2_TAPBPR_meanscore_5WER,0.03,0.4218954631823684,0.4116190978710198,0.010276365311348623,-0.34636460992851054,-0.06797691846994176,4.9454216957092285
HLA-A2_TAPBPR_meanscore_5WER,0.1,0.42332934886003987,0.4116190978710198,0.011710250989020066,-0.15933128307709402,-0.06797691846994176,4.805157661437988
HLA-A2_TAPBPR_meanscore_5WER,0.3,0.41752083773698967,0.4116190978710198,0.005901739865969868,-0.09996624655761169,-0.06797691846994176,3.2078516483306885
HLA-A2_TAPBPR_meanscore_5WER,1.0,0.416033119074222,0.4116190978710198,0.004414021203202223,-0.07975206003091816,-0.06797691846994176,4.4606146812438965
HLA-A2_TAPBPR_meanscore_5WER,3.0,0.41221071962974004,0.4116190978710198,0.0005916217587202399,-0.07134804751018746,-0.06797691846994176,3.1891286373138428
HLA-A2_TAPBPR_meanscore_5WER,10.0,0.41198844891790665,0.4116190978710198,0.0003693510468868455,-0.07223548614460522,-0.06797691846994176,2.8544363975524902
HLA-A2_TAPBPR_meanscore_5WER,30.0,0.4104532392054621,0.4116190978710198,-0.0011658586655576841,-0.06715820613315714,-0.06797691846994176,4.226838111877441
CD19_FMC63_Fitness_7URV,0.03,0.6366517534213402,0.6031704961466058,0.03348125727473439,-0.3655377907517163,-0.17587870162487682,7.155171871185303
CD19_FMC63_Fitness_7URV,0.1,0.6243421652173099,0.6031704961466058,0.021171669070704113,-0.29564048857407227,-0.17587870162487682,6.6295013427734375
CD19_FMC63_Fitness_7URV,0.3,0.6162864561431628,0.6031704961466058,0.013115959996557014,-0.2289437348216465,-0.17587870162487682,4.661404132843018
CD19_FMC63_Fitness_7URV,1.0,0.6094834480995596,0.6031704961466058,0.0063129519529537825,-0.20326663478302948,-0.17587870162487682,7.777623176574707
CD19_FMC63_Fitness_7URV,3.0,0.6094967341407679,0.6031704961466058,0.006326237994162098,-0.19022140210240013,-0.17587870162487682,3.741814613342285
CD19_FMC63_Fitness_7URV,10.0,0.6033878665743182,0.6031704961466058,0.00021737042771241555,-0.1830964272152867,-0.17587870162487682,6.849552631378174
CD19_FMC63_Fitness_7URV,30.0,0.6036617357836959,0.6031704961466058,0.0004912396370900796,-0.18173565170075712,-0.17587870162487682,4.99439811706543
