DMS_id,tag,lam,rho_true,A,P,R2
PSD95_Tm2F_1BE9,e1b_max,0.03,0.21548148818959698,0.8583970283270549,0.4081517413808194,0.7368454582407187
PSD95_Tm2F_1BE9,e1b_max,0.1,0.22792449719144617,0.7178836547125399,0.6257102047582345,0.5153569417034332
PSD95_Tm2F_1BE9,e1b_max,0.3,0.2407536658969685,0.4349455660389202,0.8587524417189171,0.1891776454169167
PSD95_Tm2F_1BE9,e1b_max,1.0,0.23005878681353517,0.14348930026379608,0.9735936232759502,0.02058917929019383
PSD95_Tm2F_1BE9,e1b_max,3.0,0.21757951845411924,0.06775173280187781,0.9882035610994222,0.004590297297657046
PSD95_Tm2F_1BE9,e1b_max,10.0,0.2143717037757881,0.031715639528027015,0.9891062535886409,0.0010058817906717496
PSD95_Tm2F_1BE9,e1b_max,30.0,0.2096476308331573,0.019780283728554227,0.9924507724955799,0.0003912596243821071
5A12_Ang2_fitness_4ZFG,e1b_max,0.03,0.02756155142197846,0.7193643433036859,0.5490288289636802,0.5174850584167433
5A12_Ang2_fitness_4ZFG,e1b_max,0.1,0.05444676148000789,0.5539712461635106,0.7736137531972457,0.30688414157595284
5A12_Ang2_fitness_4ZFG,e1b_max,0.3,0.08968310768466208,0.3203750264867088,0.9147207044383201,0.10264015759635936
5A12_Ang2_fitness_4ZFG,e1b_max,1.0,0.10838493385454447,0.11625705448189157,0.9901931266654919,0.013515702716805505
5A12_Ang2_fitness_4ZFG,e1b_max,3.0,0.10980934218439918,0.06910491701942714,0.9970863402424361,0.0047754895562619115
5A12_Ang2_fitness_4ZFG,e1b_max,10.0,0.11260732214211136,0.042438050991323334,0.9987574354264569,0.0018009881719421594
5A12_Ang2_fitness_4ZFG,e1b_max,30.0,0.11210603376453487,0.03559215878091837,0.9987525377541208,0.0012668017666861047
HLA-A2_TAPBPR_meanscore_5WER,e1b_max,0.03,0.4218954631823684,0.3463646099285104,0.9352162143665138,0.11996844301092918
HLA-A2_TAPBPR_meanscore_5WER,e1b_max,0.1,0.42332934886003987,0.15933128307709404,0.9871050582744688,0.025386457766993074
HLA-A2_TAPBPR_meanscore_5WER,e1b_max,0.3,0.41752083773698967,0.09996624655761169,0.993464700266133,0.00999325045081721
HLA-A2_TAPBPR_meanscore_5WER,e1b_max,1.0,0.416033119074222,0.07975206003091818,0.9939516947841419,0.006360391079175178
HLA-A2_TAPBPR_meanscore_5WER,e1b_max,3.0,0.41221071962974004,0.07134804751018739,0.9942657990216006,0.005090543883515957
HLA-A2_TAPBPR_meanscore_5WER,e1b_max,10.0,0.41198844891790665,0.0722354861446052,0.9940450882531336,0.005217965458547451
HLA-A2_TAPBPR_meanscore_5WER,e1b_max,30.0,0.4104532392054621,0.06715820613315707,0.993611580202485,0.004510224651023615
CD19_FMC63_Fitness_7URV,e1b_max,0.03,0.6366517534213402,0.36553779075171605,0.9369322943692413,0.13361787646764534
CD19_FMC63_Fitness_7URV,e1b_max,0.1,0.6243421652173099,0.29564048857407205,0.9575933392010283,0.08740329848431602
CD19_FMC63_Fitness_7URV,e1b_max,0.3,0.6162864561431628,0.2289437348216463,0.9808569411677777,0.0524152337140843
CD19_FMC63_Fitness_7URV,e1b_max,1.0,0.6094834480995596,0.20326663478302945,0.9888977994761989,0.04131732481601748
CD19_FMC63_Fitness_7URV,e1b_max,3.0,0.6094967341407679,0.1902214021023999,0.9924679805834318,0.03618418181780291
CD19_FMC63_Fitness_7URV,e1b_max,10.0,0.6033878665743182,0.18309642721528657,0.9947862959152901,0.033524301659002734
CD19_FMC63_Fitness_7URV,e1b_max,30.0,0.6036617357836959,0.18173565170075695,0.9953883846617341,0.03302784709909884
ACE2_SARS2-RBD_enrich_6M17,e1c_lamext,0.001,0.40548774650520086,0.6390745171564098,0.8169665294360658,0.40841623847869835
ACE2_SARS2-RBD_enrich_6M17,e1c_lamext,0.003,0.3987891926887661,0.6348015743162048,0.8375727275589141,0.40297303875433205
ACE2_SARS2-RBD_enrich_6M17,e1c_lamext,0.01,0.39062164680216743,0.5826018084087341,0.8730709414228387,0.3394248671611273
ACE2_SARS2-RBD_enrich_6M17,e1c_lamext,0.03,0.36487267907665555,0.477012258429927,0.9281583226362636,0.22754069469241947
ACE2_SARS2-RBD_enrich_6M17,e1c_lamext,0.1,0.3177371338422404,0.3366024240957832,0.9686933595350441,0.11330119190715751
ACE2_SARS2-RBD_enrich_6M17,e1c_lamext,0.3,0.28748712370670715,0.26341539008467746,0.9779724374132805,0.06938766773346279
ACE2_SARS2-RBD_enrich_6M17,e1c_lamext,1.0,0.2711330250683155,0.22058944695553825,0.9784372278857603,0.04865970410815022
ACE2_SARS2-RBD_enrich_6M17,e1c_lamext,3.0,0.2630578899269106,0.21217700711814247,0.9783459275627079,0.04501908234961228
KRAS_RAF1-RBD_norfitness_6VJJ,e3real,0.001,0.45847916109730846,0.864165774035598,0.03662343795252371,0.7467824850145443
KRAS_RAF1-RBD_norfitness_6VJJ,e3real,0.003,0.46107879667747487,0.8629818515865001,0.045816680011970805,0.7447376761676641
KRAS_RAF1-RBD_norfitness_6VJJ,e3real,0.01,0.47083816554366853,0.8633799763425718,0.09027468810123448,0.7454249835492999
KRAS_RAF1-RBD_norfitness_6VJJ,e3real,0.03,0.5103976122130511,0.8413020102935787,0.19887981618006664,0.7077890725240167
KRAS_RAF1-RBD_norfitness_6VJJ,e3real,0.1,0.5967618609620098,0.7486006847163295,0.4093895488297749,0.5604029851577573
KRAS_RAF1-RBD_norfitness_6VJJ,e3real,0.3,0.6531031011179522,0.5302597644742957,0.6846570448937578,0.2811754178203355
KRAS_RAF1-RBD_norfitness_6VJJ,e3real,1.0,0.5835225961472454,0.13767630183703225,0.9242510589803762,0.01895476408752161
KRAS_RAF1-RBD_norfitness_6VJJ,e3real,3.0,0.4888843965212562,0.05242512890325866,0.974654661309612,0.002748394140523286
PSD95_CRIPT_1BE9,e3real,0.001,0.5206779751072317,0.9150456103994017,0.24722478210575174,0.8373084691112136
PSD95_CRIPT_1BE9,e3real,0.003,0.5245462841349251,0.9165129322105932,0.24927218587497482,0.8399959549092594
PSD95_CRIPT_1BE9,e3real,0.01,0.5333117681959092,0.9196251783180552,0.2987029728767388,0.8457104685965149
PSD95_CRIPT_1BE9,e3real,0.03,0.5371469144921149,0.906370810349574,0.3508184398605977,0.8215080458537435
PSD95_CRIPT_1BE9,e3real,0.1,0.5513378458422799,0.8391889901477019,0.5306194857374913,0.7042381611851197
PSD95_CRIPT_1BE9,e3real,0.3,0.5496457397890574,0.6512306445571117,0.7581628293953756,0.4241013524102711
PSD95_CRIPT_1BE9,e3real,1.0,0.47994100325776917,0.342380716006795,0.9326868542302084,0.1172245546933256
PSD95_CRIPT_1BE9,e3real,3.0,0.40579456125983104,0.1734019675530534,0.9700360726445126,0.030068242351270185
GB1_IgG-Fc_fitness_1FCC,e3real,0.001,0.19850218552523466,0.869807198961259,0.05746799734799825,0.7565645633648312
GB1_IgG-Fc_fitness_1FCC,e3real,0.003,0.20093897925339335,0.8677442147791329,0.0693345286908738,0.7529800222826539
GB1_IgG-Fc_fitness_1FCC,e3real,0.01,0.21580761450541686,0.8663548807756443,0.09431359918712334,0.7505707794437808
GB1_IgG-Fc_fitness_1FCC,e3real,0.03,0.25291778600739645,0.8540398166653497,0.16041732913640938,0.7293840084497841
GB1_IgG-Fc_fitness_1FCC,e3real,0.1,0.3315516113057331,0.7996169246557422,0.3264323216017158,0.6393872261959069
GB1_IgG-Fc_fitness_1FCC,e3real,0.3,0.46887704143201864,0.6025586780368587,0.645245008547937,0.36307696047752674
GB1_IgG-Fc_fitness_1FCC,e3real,1.0,0.5378323138556056,0.2768774013073187,0.9045149037814695,0.07666109535469401
GB1_IgG-Fc_fitness_1FCC,e3real,3.0,0.5200884248137841,0.1063639598471143,0.9610782733941196,0.011313291954358543
