DMS_id,lam,rho,rho_base,gain,corr_w_after,corr_w_before,ds_rms
PSD95_CRIPT_1BE9,0.03,0.5540699703962597,0.3671972647143384,0.18687270568192133,-0.8651959477111484,-0.07955690401739719,3.71977162361145
PSD95_CRIPT_1BE9,0.1,0.5578847127949343,0.3671972647143384,0.19068744808059596,-0.7101459321298351,-0.07955690401739719,2.6043753623962402
PSD95_CRIPT_1BE9,0.3,0.5342990547644453,0.3671972647143384,0.1671017900501069,-0.4772634865691036,-0.07955690401739719,1.723879098892212
PSD95_CRIPT_1BE9,1.0,0.45885593838459715,0.3671972647143384,0.09165867367025876,-0.20409334128387388,-0.07955690401739719,1.336241602897644
PSD95_CRIPT_1BE9,3.0,0.4205300601859365,0.3671972647143384,0.05333279547159814,-0.12864512179271118,-0.07955690401739719,1.1458278894424438
PSD95_CRIPT_1BE9,10.0,0.40647715278928387,0.3671972647143384,0.03927988807494548,-0.09482772886865688,-0.07955690401739719,1.253006935119629
PSD95_CRIPT_1BE9,30.0,0.39590217752149237,0.3671972647143384,0.02870491280715398,-0.08319656661052882,-0.07955690401739719,1.834830403327942
PSD95_Tm2F_1BE9,0.03,0.21547833847034775,0.19438699337165458,0.021091345098693176,-0.8583991160664342,-0.010040252432799945,3.336469888687134
PSD95_Tm2F_1BE9,0.1,0.22792449719144617,0.19438699337165458,0.03353750381979159,-0.7178855720730785,-0.010040252432799945,2.8595786094665527
PSD95_Tm2F_1BE9,0.3,0.24075055568061,0.19438699337165458,0.046363562308955414,-0.43494698503352247,-0.010040252432799945,1.627198338508606
PSD95_Tm2F_1BE9,1.0,0.2300604732356733,0.19438699337165458,0.035673479864018726,-0.1434892688042029,-0.010040252432799945,1.319679856300354
PSD95_Tm2F_1BE9,3.0,0.21758039690980552,0.19438699337165458,0.023193403538150942,-0.0677516490600663,-0.010040252432799945,0.8594234585762024
PSD95_Tm2F_1BE9,10.0,0.21437160704569577,0.19438699337165458,0.019984613674041196,-0.03171570220068275,-0.010040252432799945,1.2175647020339966
PSD95_Tm2F_1BE9,30.0,0.2096476308331573,0.19438699337165458,0.015260637461502718,-0.019780472205930797,-0.010040252432799945,1.4318699836730957
5A12_Ang2_fitness_4ZFG,0.03,0.14041434312207898,0.10737228692096477,0.03304205620111421,-0.913425893736092,-0.5739361070617416,13.178813934326172
5A12_Ang2_fitness_4ZFG,0.1,0.1396416390422633,0.10737228692096477,0.032269352121298514,-0.8491626591930559,-0.5739361070617416,11.654753684997559
5A12_Ang2_fitness_4ZFG,0.3,0.12963086763158063,0.10737228692096477,0.022258580710615858,-0.7410474539941874,-0.5739361070617416,11.78567123413086
5A12_Ang2_fitness_4ZFG,1.0,0.11981430773485352,0.10737228692096477,0.012442020813888746,-0.6333409082125834,-0.5739361070617416,12.365867614746094
5A12_Ang2_fitness_4ZFG,3.0,0.1152757479482725,0.10737228692096477,0.007903461027307726,-0.60237979122585,-0.5739361070617416,13.23002815246582
5A12_Ang2_fitness_4ZFG,10.0,0.11500015011239083,0.10737228692096477,0.007627863191426054,-0.5835944799213648,-0.5739361070617416,13.4358549118042
5A12_Ang2_fitness_4ZFG,30.0,0.11140988831871611,0.10737228692096477,0.004037601397751334,-0.5805734906417499,-0.5739361070617416,11.721521377563477
HLA-A2_TAPBPR_meanscore_5WER,0.03,0.421892968626737,0.4116190978710198,0.010273870755717174,-0.346347088828391,-0.06797691846994176,4.93762731552124
HLA-A2_TAPBPR_meanscore_5WER,0.1,0.423329644951671,0.4116190978710198,0.011710547080651224,-0.1593316211705398,-0.06797691846994176,4.805216312408447
HLA-A2_TAPBPR_meanscore_5WER,0.3,0.41751680572499045,0.4116190978710198,0.005897707853970646,-0.0999664892996446,-0.06797691846994176,3.207869052886963
HLA-A2_TAPBPR_meanscore_5WER,1.0,0.4160293678021782,0.4116190978710198,0.004410269931158395,-0.07975155338818374,-0.06797691846994176,4.460593223571777
HLA-A2_TAPBPR_meanscore_5WER,3.0,0.41220832694859955,0.4116190978710198,0.0005892290775797449,-0.07134708024817955,-0.06797691846994176,3.189199209213257
HLA-A2_TAPBPR_meanscore_5WER,10.0,0.41198731577708136,0.4116190978710198,0.00036821790606156313,-0.07223654688227303,-0.06797691846994176,2.8545119762420654
HLA-A2_TAPBPR_meanscore_5WER,30.0,0.4104520176062321,0.4116190978710198,-0.0011670802647876788,-0.06715882833548516,-0.06797691846994176,4.226830005645752
CD19_FMC63_Fitness_7URV,0.03,-0.02538596602687972,0.6031704961466058,-0.6285564621734855,-0.3374432903370764,-0.10029723555597964,4.903036117553711
CD19_FMC63_Fitness_7URV,0.1,0.31046078722413284,0.6031704961466058,-0.29270970892247294,-0.27175058633724347,-0.10029723555597964,5.529556751251221
CD19_FMC63_Fitness_7URV,0.3,0.5701260587628006,0.6031704961466058,-0.033044437383805136,-0.15755335882468227,-0.10029723555597964,3.862419366836548
CD19_FMC63_Fitness_7URV,1.0,0.5980944276661275,0.6031704961466058,-0.005076068480478257,-0.12639251915345998,-0.10029723555597964,8.96667766571045
CD19_FMC63_Fitness_7URV,3.0,0.6081744998263768,0.6031704961466058,0.005004003679771052,-0.11153318173045496,-0.10029723555597964,3.96380615234375
CD19_FMC63_Fitness_7URV,10.0,0.6062112376632051,0.6031704961466058,0.003040741516599277,-0.10887129440331035,-0.10029723555597964,7.248278617858887
CD19_FMC63_Fitness_7URV,30.0,0.6063908029661791,0.6031704961466058,0.0032203068195733042,-0.10867594849974967,-0.10029723555597964,5.509172439575195
