DMS_id,seed,rho_base,c_star,rho_star,gain_star,rho_fix1,gain_fix1
5A12_Ang2_fitness_4ZFG,1,0.10737228692096477,-0.09999999999999964,0.10771206713679088,0.00033978021582610485,0.05580248400054762,-0.05156980292041716
5A12_Ang2_fitness_4ZFG,2,0.11664292367292448,0.0,0.11664292367292448,0.0,0.06787679188233572,-0.04876613179058875
5A12_Ang2_fitness_4ZFG,3,0.1140096287796578,-0.04999999999999982,0.11449908835013031,0.0004894595704725141,0.06552794919504215,-0.04848167958461565
5A12_Ang2_fitness_4ZFG,4,0.10623484850866331,-0.09999999999999964,0.10713690745745942,0.0009020589487961084,0.05590577624268944,-0.05032907226597387
5A12_Ang2_fitness_4ZFG,5,0.1111737050413092,-0.09999999999999964,0.11179605506599932,0.0006223500246901187,0.06338589278048978,-0.04778781226081942
CD19_FMC63_Fitness_7URV,1,0.6031704961466058,-0.25,0.6144012187235627,0.011230722576956897,0.5885878169776814,-0.014582679168924417
CD19_FMC63_Fitness_7URV,2,0.5730434335780265,-0.2999999999999998,0.5896822432263351,0.01663880964830866,0.5648001356304384,-0.008243297947588046
CD19_FMC63_Fitness_7URV,3,0.615752099368761,-0.25,0.6257426194103859,0.009990520041624928,0.6008602058621628,-0.014891893506598142
CD19_FMC63_Fitness_7URV,4,0.6012965380625789,-0.25,0.6119990982144278,0.010702560151848894,0.5858989846308913,-0.015397553431687583
CD19_FMC63_Fitness_7URV,5,0.583087535021099,-0.25,0.5964408161010601,0.013353281079961143,0.5699520237279808,-0.013135511293118185
PSD95_CRIPT_1BE9,1,0.3671972647143384,-2.2,0.5567391205054676,0.1895418557911292,0.5498410585438992,0.1826437938295608
PSD95_CRIPT_1BE9,2,0.380876310087813,-1.1999999999999997,0.5663839217526001,0.18550761166478713,0.5653659679288257,0.18448965784101268
PSD95_CRIPT_1BE9,3,0.3715957900143576,-2.05,0.5575410305605845,0.18594524054622685,0.5520345370645219,0.18043874705016427
PSD95_CRIPT_1BE9,4,0.35281858099343266,-2.3,0.5547853321139979,0.20196675112056528,0.5461801062347602,0.19336152524132755
PSD95_CRIPT_1BE9,5,0.3725746766440488,-2.2,0.5575079667346791,0.18493329009063025,0.552615207190867,0.18004053054681818
PSD95_Tm2F_1BE9,1,0.19438699337165458,-0.5499999999999998,0.2591582355949115,0.06477124222325695,0.25483977935254526,0.06045278598089068
PSD95_Tm2F_1BE9,2,0.2014656789182013,-0.5,0.26515399531098244,0.06368831639278114,0.2595245326615015,0.05805885374330019
PSD95_Tm2F_1BE9,3,0.1901957680668504,-0.5,0.2534326930412357,0.06323692497438532,0.25025396306919506,0.06005819500234466
PSD95_Tm2F_1BE9,4,0.1852594190218953,-0.5,0.25161557608602686,0.06635615706413156,0.2492817232792782,0.0640223042573829
PSD95_Tm2F_1BE9,5,0.1956727332648232,-0.44999999999999973,0.2565038441150757,0.0608311108502525,0.24950330500048348,0.053830571735660276
hYAP65_peptide_FunctioncalScore_1JMQ,1,0.08864244464975292,0.25,0.09363726046637602,0.004994815816623102,0.05036492587289931,-0.038277518776853606
hYAP65_peptide_FunctioncalScore_1JMQ,2,0.08547458506321072,0.2999999999999998,0.09124729215449504,0.005772707091284315,0.04863948282796374,-0.03683510223524698
hYAP65_peptide_FunctioncalScore_1JMQ,3,0.10269678511417342,0.20000000000000018,0.10625571870251915,0.0035589335883457335,0.05815581108523987,-0.04454097402893355
hYAP65_peptide_FunctioncalScore_1JMQ,4,0.09662990930449708,0.25,0.10157697848483592,0.0049470691803388395,0.055032628179367035,-0.041597281125130045
hYAP65_peptide_FunctioncalScore_1JMQ,5,0.1424364031759555,0.15000000000000036,0.14456525580214452,0.0021288526261890317,0.08102710792520885,-0.061409295250746634
