DMS_id,arm,alpha,alpha_eff,eps,rho,rho_base,auc,ap,delta,ctl
PSD95_CRIPT_1BE9,iface,-8.0,-8.0,0.7880852818489075,0.3557319369717255,0.3716863840697702,0.0,0.0925461514311267,-0.01595444709804472,iface
PSD95_CRIPT_1BE9,rand0,-8.0,-9.264267351606511,0.7880852818489075,0.3842921940079777,0.3716863840697702,0.8999999999999999,0.7509085441275443,0.01260580993820748,random
PSD95_CRIPT_1BE9,rand1,-8.0,-10.366224995818488,0.7880853414535522,0.3653672331412904,0.3716863840697702,0.939,0.8160762385762386,-0.006319150928479844,random
PSD95_CRIPT_1BE9,rand2,-8.0,-9.441343285965624,0.7880852818489075,0.3816199394328233,0.3716863840697702,0.9625,0.8840475553123537,0.00993355536305307,random
PSD95_CRIPT_1BE9,shuffled,-8.0,-8.385934216085557,0.7880852818489075,0.3404940509810382,0.3716863840697702,0.949,0.8343311692570003,-0.031192333088732038,shuffled
PSD95_CRIPT_1BE9,iface,-4.0,-4.0,0.3940426409244537,0.370729041667116,0.3716863840697702,0.0,0.0925461514311267,-0.0009573424026542154,iface
PSD95_CRIPT_1BE9,rand0,-4.0,-4.632133675803256,0.3940426409244537,0.3818661610763015,0.3716863840697702,0.99,0.961930311068242,0.010179777006531276,random
PSD95_CRIPT_1BE9,rand1,-4.0,-5.183112497909244,0.3940426409244537,0.3743978786595064,0.3716863840697702,0.999,0.9951190476190476,0.0027114945897361853,random
PSD95_CRIPT_1BE9,rand2,-4.0,-4.720671642982812,0.3940426409244537,0.3788626214777279,0.3716863840697702,0.998,0.9916666666666666,0.007176237407957697,random
PSD95_CRIPT_1BE9,shuffled,-4.0,-4.192967108042779,0.3940426409244537,0.3676825541625464,0.3716863840697702,1.0,1.0,-0.00400382990722381,shuffled
PSD95_CRIPT_1BE9,iface,-2.0,-2.0,0.1970213204622268,0.3730933095663948,0.3716863840697702,0.0,0.0925461514311267,0.0014069254966245781,iface
PSD95_CRIPT_1BE9,rand0,-2.0,-2.316066837901628,0.1970213204622268,0.376675560081227,0.3716863840697702,1.0,1.0,0.004989176011456764,random
PSD95_CRIPT_1BE9,rand1,-2.0,-2.591556248954622,0.1970213204622268,0.3730516142074195,0.3716863840697702,1.0,1.0,0.001365230137649276,random
PSD95_CRIPT_1BE9,rand2,-2.0,-2.360335821491406,0.1970213204622268,0.3749455051748394,0.3716863840697702,1.0,1.0,0.0032591211050691515,random
PSD95_CRIPT_1BE9,shuffled,-2.0,-2.0964835540213893,0.1970213204622268,0.3716305549530597,0.3716863840697702,1.0,1.0,-5.582911671053736e-05,shuffled
PSD95_CRIPT_1BE9,iface,-1.0,-1.0,0.0985106602311134,0.3726261849298058,0.3716863840697702,0.51,0.1883421032475041,0.0009398008600355889,iface
PSD95_CRIPT_1BE9,rand0,-1.0,-1.158033418950814,0.0985106602311134,0.3745056629615409,0.3716863840697702,1.0,1.0,0.0028192788917706935,random
PSD95_CRIPT_1BE9,rand1,-1.0,-1.295778124477311,0.0985106602311134,0.3723168768785782,0.3716863840697702,1.0,1.0,0.0006304928088079476,random
PSD95_CRIPT_1BE9,rand2,-1.0,-1.180167910745703,0.0985106602311134,0.3733504413201122,0.3716863840697702,1.0,1.0,0.001664057250341966,random
PSD95_CRIPT_1BE9,shuffled,-1.0,-1.0482417770106949,0.0985106602311134,0.3717278764263257,0.3716863840697702,1.0,1.0,4.149235655548367e-05,shuffled
PSD95_CRIPT_1BE9,iface,-0.5,-0.5,0.0492553301155567,0.3722596949840538,0.3716863840697702,1.0,1.0,0.0005733109142835868,iface
PSD95_CRIPT_1BE9,rand0,-0.5,-0.579016709475407,0.0492553301155567,0.3730431992903171,0.3716863840697702,1.0,1.0,0.0013568152205468698,random
PSD95_CRIPT_1BE9,rand1,-0.5,-0.6478890622386555,0.049255333840847,0.3720178043376478,0.3716863840697702,1.0,1.0,0.00033142026787758017,random
PSD95_CRIPT_1BE9,rand2,-0.5,-0.5900839553728515,0.049255333840847,0.3724693902196902,0.3716863840697702,1.0,1.0,0.0007830061499199958,random
PSD95_CRIPT_1BE9,shuffled,-0.5,-0.5241208885053473,0.049255333840847,0.3717842254440566,0.3716863840697702,1.0,1.0,9.784137428636708e-05,shuffled
PSD95_CRIPT_1BE9,iface,0.5,0.5,0.0492553301155567,0.3710450877604407,0.3716863840697702,1.0,1.0,-0.0006412963093295199,iface
PSD95_CRIPT_1BE9,rand0,0.5,0.579016709475407,0.0492553301155567,0.3704242766286985,0.3716863840697702,1.0,1.0,-0.001262107441071747,random
PSD95_CRIPT_1BE9,rand1,0.5,0.6478890622386555,0.0492553301155567,0.3716099392043535,0.3716863840697702,1.0,1.0,-7.644486541674711e-05,random
PSD95_CRIPT_1BE9,rand2,0.5,0.5900839553728515,0.049255333840847,0.3708531520060259,0.3716863840697702,1.0,1.0,-0.0008332320637443047,random
PSD95_CRIPT_1BE9,shuffled,0.5,0.5241208885053473,0.0492553301155567,0.3715810586487129,0.3716863840697702,1.0,1.0,-0.0001053254210573451,shuffled
PSD95_CRIPT_1BE9,iface,1.0,1.0,0.0985106602311134,0.3700929203412603,0.3716863840697702,1.0,1.0,-0.0015934637285099362,iface
PSD95_CRIPT_1BE9,rand0,1.0,1.158033418950814,0.0985106602311134,0.369149590423945,0.3716863840697702,1.0,1.0,-0.0025367936458252083,random
