DMS_id,lam,rho,rho_base,gain,corr_w_after,corr_w_before,ds_rms,final_M
KRAS_RAF1-RBD_norfitness_6VJJ,0.001,0.45847916109730846,0.44129515556233045,0.01718400553497801,-0.8641657740355978,0.16417932973017216,9.096761703491211,
KRAS_RAF1-RBD_norfitness_6VJJ,0.003,0.46107879667747487,0.44129515556233045,0.019783641115144412,-0.8629818515865003,0.16417932973017216,8.952616691589355,
KRAS_RAF1-RBD_norfitness_6VJJ,0.01,0.47083816554366853,0.44129515556233045,0.029543009981338075,-0.8633799763425726,0.16417932973017216,7.872852325439453,
KRAS_RAF1-RBD_norfitness_6VJJ,0.03,0.5103976122130511,0.44129515556233045,0.06910245665072068,-0.8413020102935792,0.16417932973017216,6.353060722351074,
KRAS_RAF1-RBD_norfitness_6VJJ,0.1,0.5967618609620098,0.44129515556233045,0.15546670539967933,-0.7486006847163302,0.16417932973017216,5.292430877685547,
KRAS_RAF1-RBD_norfitness_6VJJ,0.3,0.6531031011179522,0.44129515556233045,0.21180794555562177,-0.5302597644742953,0.16417932973017216,4.414254665374756,
KRAS_RAF1-RBD_norfitness_6VJJ,1.0,0.5835225961472454,0.44129515556233045,0.142227440584915,-0.13767630183703222,0.16417932973017216,3.9164011478424072,
KRAS_RAF1-RBD_norfitness_6VJJ,3.0,0.4888843965212562,0.44129515556233045,0.04758924095892575,0.05242512890325866,0.16417932973017216,3.1102383136749268,
KRAS_RAF1-RBD_norfitness_6VJJ,0.3,0.6736494876317909,0.44129515556233045,0.23235433206946043,-0.37755096694444157,0.13683345838396657,3.9972105026245117,5.0
PSD95_CRIPT_1BE9,0.001,0.5206779751072317,0.3671972647143384,0.1534807103928933,-0.915045610399401,-0.07580954393261824,3.876638174057007,
PSD95_CRIPT_1BE9,0.003,0.5245462841349251,0.3671972647143384,0.1573490194205867,-0.916512932210592,-0.07580954393261824,3.745241641998291,
PSD95_CRIPT_1BE9,0.01,0.5333117681959092,0.3671972647143384,0.1661145034815708,-0.9196251783180541,-0.07580954393261824,3.5722219944000244,
PSD95_CRIPT_1BE9,0.03,0.5371469144921149,0.3671972647143384,0.16994964977777655,-0.9063708103495728,-0.07580954393261824,3.3305346965789795,
PSD95_CRIPT_1BE9,0.1,0.5513378458422799,0.3671972647143384,0.18414058112794146,-0.8391889901477012,-0.07580954393261824,2.826763868331909,
PSD95_CRIPT_1BE9,0.3,0.5496457397890574,0.3671972647143384,0.182448475074719,-0.6512306445571111,-0.07580954393261824,1.9283169507980347,
PSD95_CRIPT_1BE9,1.0,0.47994100325776917,0.3671972647143384,0.11274373854343078,-0.34238071600679476,-0.07580954393261824,1.2810572385787964,
PSD95_CRIPT_1BE9,3.0,0.40579456125983104,0.3671972647143384,0.038597296545492654,-0.17340196755305312,-0.07580954393261824,1.3115562200546265,
PSD95_CRIPT_1BE9,0.1,0.5558938146804318,0.3671972647143384,0.18869654996609336,-0.7223467593021561,-0.07955690401739719,2.8655059337615967,5.0
GB1_IgG-Fc_fitness_1FCC,0.001,0.19850218552523466,0.5004876730948997,-0.30198548756966503,-0.8698071989612594,0.006161119715901443,7.481245994567871,
GB1_IgG-Fc_fitness_1FCC,0.003,0.20093897925339335,0.5004876730948997,-0.2995486938415064,-0.8677442147791333,0.006161119715901443,7.628612518310547,
GB1_IgG-Fc_fitness_1FCC,0.01,0.21580761450541686,0.5004876730948997,-0.28468005858948287,-0.8663548807756444,0.006161119715901443,7.221206188201904,
GB1_IgG-Fc_fitness_1FCC,0.03,0.25291778600739645,0.5004876730948997,-0.24756988708750327,-0.8540398166653507,0.006161119715901443,6.4876580238342285,
GB1_IgG-Fc_fitness_1FCC,0.1,0.3315516113057331,0.5004876730948997,-0.16893606178916665,-0.7996169246557415,0.006161119715901443,4.843257904052734,
GB1_IgG-Fc_fitness_1FCC,0.3,0.46887704143201864,0.5004876730948997,-0.031610631662881084,-0.6025586780368588,0.006161119715901443,4.622204780578613,
GB1_IgG-Fc_fitness_1FCC,1.0,0.5378323138556056,0.5004876730948997,0.03734464076070587,-0.27687740130731836,0.006161119715901443,4.04742431640625,
GB1_IgG-Fc_fitness_1FCC,3.0,0.5200884248137841,0.5004876730948997,0.019600751718884424,-0.1063639598471145,0.006161119715901443,3.5571861267089844,
GB1_IgG-Fc_fitness_1FCC,1.0,0.5577357693503234,0.5004876730948997,0.05724809625542371,-0.12986128193959054,0.040270792989912124,3.997697114944458,5.0
