DMS_id,n,auc_in,rho_in,auc_loao,rho_loao
5A12_Ang2_fitness_4ZFG,652,0.8769377990430621,0.575162054419776,0.9110685805422647,0.039328636209309285
ACE2_SARS2-RBD_enrich_6M17,931,0.9039949001274968,0.5982040832216986,0.9188695282617936,0.363765924322937
CD19_FMC63_Fitness_7URV,497,0.9849668708588573,0.6787635880360343,0.956994624328041,-0.12721441852658452
CXCR4_CXCL12_enrich_8U4O,360,0.8244524354364171,0.5596156243838094,0.8810885910428246,0.41744932169261734
GB1_IgG-Fc_fitness_1FCC,262,0.9472439512461343,0.46378429900378393,0.8655630343823904,0.45555118696716684
HLA-A2_TAPBPR_meanscore_5WER,644,0.9416162069223294,0.7610148811637345,0.9292442251625925,0.05600088579759688
KRAS_PICK3CG-RBD_norfitness_1HE8,1107,0.954090354090354,0.6625422513684652,0.8006105006105005,-0.35333074641550344
KRAS_RAF1-RBD_norfitness_6VJJ,245,0.8680861478218307,0.29274524143953723,0.9738130200685267,0.49717796267025466
KRAS_RAF1_norfitness_6VJJ,245,0.8680861478218307,0.29274524143953723,0.9738130200685267,0.49717796267025466
KRAS_RALGDS-RBD_norfitness_1LFD,254,0.9320512820512821,0.5019376580849357,0.9367521367521368,0.3900745185515173
PSD95_CRIPT_1BE9,120,0.8029697315819532,0.27654495040803506,0.8600799543118218,0.4567945176524792
PSD95_Tm2F_1BE9,120,0.8046830382638492,0.2751872101600467,0.8589377498572244,0.4597218195170678
SARS2-RBD_ACE2_deltaKd_6M0J,791,0.930048182216382,0.2983652055302443,0.9257993867717915,0.16846824039664896
hYAP65_peptide_FunctioncalScore_1JMQ,56,0.6079545454545454,0.3883657745589421,0.6723484848484849,0.6672249098776439
