DMS_id,arm,alpha,alpha_eff,eps,rho,rho_base,auc,ap,delta
PSD95_CRIPT_1BE9,iface,-8.0,-8.0,0.7880852818489075,0.35573193697172556,0.3716863840697702,0.0,0.09254615143112674,-0.015954447098044666
PSD95_CRIPT_1BE9,rand0,-8.0,-9.264267351606511,0.7880852818489075,0.38429219400797776,0.3716863840697702,0.8999999999999999,0.7509085441275443,0.012605809938207535
PSD95_CRIPT_1BE9,rand1,-8.0,-10.366224995818488,0.7880853414535522,0.36536723314129044,0.3716863840697702,0.939,0.8160762385762386,-0.006319150928479789
PSD95_CRIPT_1BE9,rand2,-8.0,-9.441343285965624,0.7880852818489075,0.38161993943282335,0.3716863840697702,0.9625,0.8840475553123537,0.009933555363053126
PSD95_CRIPT_1BE9,shuffled,-8.0,-8.385934216085557,0.7880852818489075,0.34049405098103824,0.3716863840697702,0.9490000000000001,0.8343311692570003,-0.031192333088731983
PSD95_CRIPT_1BE9,iface,-4.0,-4.0,0.39404264092445374,0.370729041667116,0.3716863840697702,0.0,0.09254615143112674,-0.0009573424026542154
PSD95_CRIPT_1BE9,rand0,-4.0,-4.632133675803256,0.39404264092445374,0.38186616107630156,0.3716863840697702,0.99,0.961930311068242,0.010179777006531332
PSD95_CRIPT_1BE9,rand1,-4.0,-5.183112497909244,0.39404264092445374,0.3743978786595064,0.3716863840697702,0.999,0.9951190476190477,0.0027114945897361853
PSD95_CRIPT_1BE9,rand2,-4.0,-4.720671642982812,0.39404264092445374,0.3788626214777279,0.3716863840697702,0.998,0.9916666666666666,0.007176237407957697
PSD95_CRIPT_1BE9,shuffled,-4.0,-4.192967108042779,0.39404264092445374,0.36768255416254647,0.3716863840697702,1.0,1.0,-0.004003829907223755
PSD95_CRIPT_1BE9,iface,-2.0,-2.0,0.19702132046222687,0.37309330956639486,0.3716863840697702,0.0,0.09254615143112674,0.0014069254966246336
PSD95_CRIPT_1BE9,rand0,-2.0,-2.316066837901628,0.19702132046222687,0.376675560081227,0.3716863840697702,1.0,1.0,0.004989176011456764
PSD95_CRIPT_1BE9,rand1,-2.0,-2.591556248954622,0.19702132046222687,0.37305161420741956,0.3716863840697702,1.0,1.0,0.0013652301376493314
PSD95_CRIPT_1BE9,rand2,-2.0,-2.360335821491406,0.19702132046222687,0.37494550517483943,0.3716863840697702,1.0,1.0,0.003259121105069207
PSD95_CRIPT_1BE9,shuffled,-2.0,-2.0964835540213893,0.19702132046222687,0.37163055495305974,0.3716863840697702,1.0,1.0,-5.582911671048185e-05
PSD95_CRIPT_1BE9,iface,-1.0,-1.0,0.09851066023111343,0.3726261849298058,0.3716863840697702,0.51,0.18834210324750417,0.0009398008600355889
PSD95_CRIPT_1BE9,rand0,-1.0,-1.158033418950814,0.09851066023111343,0.3745056629615409,0.3716863840697702,1.0,1.0,0.0028192788917706935
PSD95_CRIPT_1BE9,rand1,-1.0,-1.295778124477311,0.09851066023111343,0.37231687687857823,0.3716863840697702,1.0,1.0,0.0006304928088080031
PSD95_CRIPT_1BE9,rand2,-1.0,-1.180167910745703,0.09851066023111343,0.3733504413201122,0.3716863840697702,1.0,1.0,0.001664057250341966
