DMS_id,lam,step,rho,rho_base,gain,corr_w_after,corr_w_before,ds_rms,final_M
GB1_IgG-Fc_fitness_1FCC,0.001,300,0.27739604175995286,0.5004876730948997,-0.22309163133494686,-0.9226028510380575,0.0019175747293891357,7.341457366943359,
GB1_IgG-Fc_fitness_1FCC,0.001,1000,0.2312963194799144,0.5004876730948997,-0.26919135361498536,-0.9802183341631225,0.0019175747293891357,9.695234298706055,
GB1_IgG-Fc_fitness_1FCC,0.001,2000,0.218542007227596,0.5004876730948997,-0.28194566586730374,-0.9909619353744544,0.0019175747293891357,9.22848129272461,
GB1_IgG-Fc_fitness_1FCC,0.001,3000,0.22303295543438878,0.5004876730948997,-0.27745471766051094,-0.9942302860736858,0.0019175747293891357,8.951601028442383,
GB1_IgG-Fc_fitness_1FCC,0.003,300,0.2866381168893109,0.5004876730948997,-0.21384955620558882,-0.9196229399617692,0.0019175747293891357,8.450689315795898,
GB1_IgG-Fc_fitness_1FCC,0.003,1000,0.22694776878936063,0.5004876730948997,-0.2735399043055391,-0.9804692183544599,0.0019175747293891357,9.157621383666992,
GB1_IgG-Fc_fitness_1FCC,0.003,2000,0.22153914704248534,0.5004876730948997,-0.2789485260524144,-0.9908038410328504,0.0019175747293891357,8.394047737121582,
GB1_IgG-Fc_fitness_1FCC,0.003,3000,0.21746548556110393,0.5004876730948997,-0.2830221875337958,-0.9940392071109982,0.0019175747293891357,8.182783126831055,
GB1_IgG-Fc_fitness_1FCC,0.01,300,0.2937476878409879,0.5004876730948997,-0.2067399852539118,-0.9185028790181727,0.0019175747293891357,8.641706466674805,
GB1_IgG-Fc_fitness_1FCC,0.01,1000,0.23884152807005707,0.5004876730948997,-0.2616461450248426,-0.978753816987064,0.0019175747293891357,8.612594604492188,
GB1_IgG-Fc_fitness_1FCC,0.01,2000,0.2328347373389103,0.5004876730948997,-0.2676529357559894,-0.9896316058850321,0.0019175747293891357,7.958571434020996,
GB1_IgG-Fc_fitness_1FCC,0.01,3000,0.22986412725611025,0.5004876730948997,-0.27062354583878945,-0.9930440834464657,0.0019175747293891357,7.525432586669922,
GB1_IgG-Fc_fitness_1FCC,0.03,300,0.3196278022033983,0.5004876730948997,-0.1808598708915014,-0.8983266899749093,0.0019175747293891357,8.472034454345703,
