DMS_id,lam,rho,rho_base,gain,corr_w_after,corr_w_before,ds_rms,feat,src,ceil,vs_ceil,n_mut
KRAS_RAF1-RBD_norfitness_6VJJ,0.3,0.669394105997924,0.4412949857696844,0.2280991202282396,-0.3556767866054931,0.1368333920731699,3.0953829288482666,max,e1,0.6078619355796521,0.06153217041827197,1.878027719010405
CD19_FMC63_Fitness_7URV,0.03,0.6366517534213402,0.6031704961466058,0.0334812572747343,-0.3655377907517163,-0.1758787016248768,7.155171871185303,max,e1b_max,0.6143992003675334,0.0222525530538068,2.044015444015444
GB1_IgG-Fc_fitness_1FCC,0.3,0.5644662199339738,0.5004876639300487,0.0639785560039251,-0.3971625265664203,0.0402707827356705,3.4630367755889893,max,e1,0.5443980650408133,0.020068154893160495,1.9887501345677685
5A12_Ang2_fitness_4ZFG,10.0,0.1126073221421113,0.1073722869209647,0.0052350352211465,-0.0424380509913233,-0.024281444566748,12.881513595581056,max,e1b_max,0.1076895281749728,0.004917793967138498,3.537645811240721
PSD95_CRIPT_1BE9,0.1,0.5578815408461799,0.367196156506738,0.1906853843394419,-0.7101487092868741,-0.0795569040173971,2.6044905185699463,max,e1,0.5567404816235152,0.0011410592226647198,1.0
HLA-A2_TAPBPR_meanscore_5WER,0.1,0.4233293488600398,0.4116190978710198,0.01171025098902,-0.159331283077094,-0.0679769184699417,4.805157661437988,max,e1b_max,0.4307332579576987,-0.007403909097658867,1.0
PSD95_Tm2F_1BE9,0.3,0.2407536658969685,0.1943869933716545,0.0463666725253139,-0.4349455660389204,-0.0100402524327999,1.6270381212234497,max,e1b_max,0.2591661631871533,-0.018412497290184793,1.0
ACE2_SARS2-RBD_enrich_6M17,0.03,0.3236695079636589,0.2759489812988094,0.0477205266648494,-0.3402181737370043,-0.2191744859362069,11.701684951782228,max,e1,0.4428514613175267,-0.11918195335386778,1.0
CD19_FMC63_Fitness_7URV,3.0,0.6081744998263768,0.6031704961466058,0.005004003679771,-0.1115331817304549,-0.1002972355559796,3.96380615234375,sum,e1b_sum,0.6047102145336425,0.003464285292734348,2.044015444015444
PSD95_CRIPT_1BE9,0.1,0.5578847127949343,0.3671972647143384,0.1906874480805959,-0.7101459321298351,-0.0795569040173971,2.60437536239624,sum,e1b_sum,0.5567404816235152,0.0011442311714191522,1.0
HLA-A2_TAPBPR_meanscore_5WER,0.1,0.423329644951671,0.4116190978710198,0.0117105470806512,-0.1593316211705398,-0.0679769184699417,4.805216312408447,sum,e1b_sum,0.4307332579576987,-0.007403613006027654,1.0
PSD95_Tm2F_1BE9,0.3,0.24075055568061,0.1943869933716545,0.0463635623089554,-0.4349469850335224,-0.0100402524327999,1.627198338508606,sum,e1b_sum,0.2591661631871533,-0.018415607506543308,1.0
5A12_Ang2_fitness_4ZFG,0.03,0.1404143431220789,0.1073722869209647,0.0330420562011142,-0.913425893736092,-0.5739361070617416,13.178813934326172,sum,e1b_sum,0.1677397043196458,-0.0273253611975669,3.537645811240721
