DMS_id,n,sd_mpnn,frac_touch,rho_base,binary_cstar,binary_oracle,binary_loao,binary_fixed1,soft_cstar,soft_oracle,soft_loao,soft_fixed1,binary_ceiling,binary_ceiling_null,rho_base_sub
5A12_Ang2_fitness_4ZFG,943,4.089240069634745,0.8685047720042418,0.10737228692096477,-0.04999999999999982,0.10745159544566028,0.09340819799673834,0.08567262595446695,-0.09999999999999964,0.10771206713679088,0.07399241360887339,0.05580248400054762,0.1313954415420888,0.1315214321907316,0.1073722869209647
ACE2_SARS2-RBD_enrich_6M17,2185,2.0455024778685473,0.17391304347826086,0.27595232774303263,-1.0999999999999996,0.392883559241423,0.3692143903501229,0.392539594297259,-1.9499999999999997,0.4428548916376594,0.40635403190648656,0.43324217754145244,0.3947492303873074,0.2923722193930548,0.2787581170996296
CD19_FMC63_Fitness_7URV,3885,3.1264798557408553,0.03500643500643501,0.6031704961466058,-4.0,0.6183734261320586,0.6176327521930439,0.6183677829211477,-0.25,0.6144012187235627,0.6038366910933535,0.5885878169776814,0.6219814419215156,0.6090259174982238,0.6055990224697292
CXCR4_CXCL12_enrich_8U4O,5584,2.0089156122302247,0.12589541547277938,0.20144135451728476,-0.5499999999999998,0.22969881460952452,0.229045480111972,0.22326898425598102,-0.75,0.24877610202719325,0.24727726836672329,0.246861298209584,0.2289145558274827,0.2059557919810234,0.1950864376222348
GB1_IgG-Fc_fitness_1FCC,92890,3.272999638611748,0.6297986866185811,0.5004876730948997,-0.3999999999999999,0.5414239708937513,0.540120003516646,0.497824248614986,-0.44999999999999973,0.5443962144754374,0.538345375176697,0.5102151410588347,0.5546888750744721,0.5141074066491809,0.503675509119567
HLA-A2_TAPBPR_meanscore_5WER,3344,1.9637162235463843,0.12320574162679426,0.4116190978710198,-0.25,0.4215112924913187,0.4112160824298545,0.38292056008885456,-0.2999999999999998,0.4307350223177426,0.4197747686257454,0.3995790223457002,0.4298354796588697,0.4218079144519785,0.4134638681871821
KRAS_PICK3CG-RBD_norfitness_1HE8,19202,3.084972126474296,0.20326007707530466,0.5020307593607786,-0.3999999999999999,0.5466758020769609,0.5431120910322512,0.4841215300287956,-0.5999999999999996,0.6129496566827644,0.6129496566827644,0.588857251498213,0.5657341952187773,0.5120733868469572,0.5033497760631469
KRAS_RAF1-RBD_norfitness_6VJJ,23161,3.028124784696555,0.2570268986658607,0.44129515556233045,-0.6499999999999999,0.543748476894363,0.5364328185689557,0.525184998544369,-0.7999999999999998,0.6078664334457184,0.5998649022784446,0.6027066634787531,0.5549678968662554,0.462614809036782,0.4526759085439442
KRAS_RAF1_norfitness_6VJJ,12676,2.9897823273487294,0.3896339539286841,0.4870952199597719,-0.5999999999999996,0.5870290834952354,0.580951795437271,0.5647445860208401,-0.6999999999999997,0.6195941258138248,0.6171379319249634,0.6101660227377993,0.588950133930747,0.492495682652094,0.4828344922898138
KRAS_RALGDS-RBD_norfitness_1LFD,20340,3.234496105728271,0.27207472959685347,0.5871982626093605,-0.5499999999999998,0.6606524171095761,0.6592604821806651,0.6389276174114822,-0.6499999999999999,0.6920529825443188,0.6917319612141551,0.6778215292885434,0.6587147885651414,0.589571071129181,0.5818914146786587
PSD95_CRIPT_1BE9,1576,2.2472026657019306,0.18083756345177665,0.3671972647143384,-0.6499999999999999,0.46314146702944997,0.4587024318949795,0.45815262757282776,-2.2,0.5567391205054676,0.529116518807059,0.5498410585438992,0.4684106125003874,0.3801578393720038,0.3671972647143384
PSD95_Tm2F_1BE9,1576,2.204647142390562,0.19289340101522842,0.19438699337165458,-0.34999999999999964,0.23774021462892272,0.23372918556392933,0.2172229544396307,-0.5499999999999998,0.2591582355949115,0.2588106048505029,0.25483977935254526,0.2614454811488026,0.21864084536447,0.1943869933716545
SARS2-RBD_ACE2_deltaKd_6M0J,21871,5.220344028537497,0.30922225778428053,0.6967432722451691,-0.25,0.7207155009745801,0.7068933047518918,0.6550863712707233,-0.2999999999999998,0.7339466676433534,0.7121467455585112,0.6733507854118425,0.7281004634537825,0.6988433459113013,0.6926186236326254
hYAP65_peptide_FunctioncalScore_1JMQ,18406,2.0357998177274044,0.5265674236661958,0.08864244464975292,-0.25,0.09113000518955962,0.08960778516134793,0.07919516889500292,0.25,0.09363726046637602,0.06053897708934932,0.05036492587289931,0.1078872321291883,0.1071833323506736,0.0737663919932699
