DMS_id,rho_base,binary_star,binary_loao,binary_fix1,soft_star,soft_loao,soft_fix1,raw_star,raw_loao,raw_fix1
5A12_Ang2_fitness_4ZFG,0.10737228692096477,0.10745159544566028,0.09340819799673834,0.08567262595446695,0.1077122245517623,0.07711721527532353,0.05574591478399737,0.10957106639708913,0.08254858989719599,0.06946433617963335
ACE2_SARS2-RBD_enrich_6M17,0.27595232774303263,0.392883559241423,0.3692143903501229,0.392539594297259,0.4434683966860852,0.3973264657756776,0.4328089253478823,0.4416866536688745,0.3941342503523095,0.4240369134655848
CD19_FMC63_Fitness_7URV,0.6031704961466058,0.6183734261320586,0.6176327521930439,0.6183677829211477,0.6062079320907857,0.5479248791750685,0.48342404061084837,0.6058764909457184,0.5368915420569975,0.4816717354469303
CXCR4_CXCL12_enrich_8U4O,0.20144135451728476,0.22969881460952452,0.229045480111972,0.22326898425598102,0.2525551377421088,0.2491931178050206,0.2518754170977565,0.2569034545927793,0.25232300518612205,0.25658668752170005
GB1_IgG-Fc_fitness_1FCC,0.5004876730948997,0.5414239708937513,0.540120003516646,0.497824248614986,0.5439691610003117,0.5406678770265949,0.5110648581970032,0.5338290949395285,0.5298575845960939,0.5121369365413789
HLA-A2_TAPBPR_meanscore_5WER,0.4116190978710198,0.4215112924913187,0.4112160824298545,0.38292056008885456,0.4297439140826361,0.4199083032112233,0.3930844082103754,0.4301689411791864,0.41677658198389844,0.3907278934386646
KRAS_PICK3CG-RBD_norfitness_1HE8,0.5020307593607786,0.5466758020769609,0.5431120910322512,0.4841215300287956,0.6203118210597798,0.620033788443028,0.5988455340160016,0.6292260637145624,0.6275700697644997,0.6155414346180073
KRAS_RAF1-RBD_norfitness_6VJJ,0.44129515556233045,0.543748476894363,0.5364328185689557,0.525184998544369,0.6115762374024176,0.5970306905191746,0.6072653146284835,0.5985926123942427,0.5885344502528163,0.5962306171982964
KRAS_RAF1_norfitness_6VJJ,0.4870952199597719,0.5870290834952354,0.580951795437271,0.5647445860208401,0.6201916071830365,0.6175984842603219,0.6112230528671584,0.6066166051187573,0.6045866895771996,0.5986621376349632
KRAS_RALGDS-RBD_norfitness_1LFD,0.5871982626093605,0.6606524171095761,0.6592604821806651,0.6389276174114822,0.6973517583711115,0.6966648146583885,0.6836844754314061,0.6989831137873765,0.697705634878283,0.6885654305958283
PSD95_CRIPT_1BE9,0.3671972647143384,0.46314146702944997,0.4587024318949795,0.45815262757282776,0.5614080864913783,0.5293559376322767,0.5574523034442542,0.5811319117002559,0.5456019376226647,0.5776863501909815
PSD95_Tm2F_1BE9,0.19438699337165458,0.23774021462892272,0.23372918556392933,0.2172229544396307,0.2607690987334818,0.26075187170153935,0.25691822328550057,0.2662502041274531,0.2654165025373806,0.2622423648055481
SARS2-RBD_ACE2_deltaKd_6M0J,0.6967432722451691,0.7207155009745801,0.7068933047518918,0.6550863712707233,0.7341614417430132,0.7191507985764274,0.6772943448566837,0.7285089888233741,0.7114161230050416,0.6839635189661382
hYAP65_peptide_FunctioncalScore_1JMQ,0.08864244464975292,0.09113000518955962,0.08960778516134793,0.07919516889500292,0.09412095770185874,0.061904130841003296,0.050454139867773966,0.10197978256380946,0.05378097142439523,0.045126835319420494
