id	n_chains	total_len	mean_plddt	ptm	iptm	sec	peak_gb
B2L11_HUMAN_Dutta_2010_binding-Mcl-1	1	198	0.7586	0.2209	0.0000	7.90	14.20
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR	1	365	0.9375	0.8030	0.0000	7.37	15.08
SPG1_STRSG_Olson_2014	1	448	0.8264	0.2839	0.0000	8.60	15.81
SPG1_STRSG_Wu_2016	1	448	0.8265	0.2841	0.0000	8.12	15.81
YAP1_HUMAN_Araya_2012	1	504	0.7642	0.1770	0.0000	10.05	16.38
CD19_HUMAN_Klesmith_2019_FMC_singles	1	556	0.7499	0.4381	0.0000	12.62	16.98
DLG4_RAT_McLaughlin_2012	1	724	0.8688	0.4839	0.0000	19.20	19.30
ACE2_HUMAN_Chan_2020	1	805	0.9339	0.8620	0.0000	26.67	20.63
SPIKE_SARS2_Starr_2020_binding	1	1273	0.8299	0.4550	0.0000	65.31	31.13
